"","name","Rank in analysis","blank beginning","blank end","plateau beginning","plateau end","Blank average Li7","Blank average B11","Blank average Mg25","Blank average Ca43","Blank average Ti49","Blank average V51","Blank average Cr53","Blank average Mn55","Blank average Ni60","Blank average Cu65","Blank average Zn66","Blank average Rb85","Blank average Sr86","Blank average Y89","Blank average Mo97","Blank average Cd111","Blank average Sn118","Blank average Ba138","Blank average Pb208","Blank average Th232","Blank average U238","LOD Li7","LOD B11","LOD Mg25","LOD Ca43","LOD Ti49","LOD V51","LOD Cr53","LOD Mn55","LOD Ni60","LOD Cu65","LOD Zn66","LOD Rb85","LOD Sr86","LOD Y89","LOD Mo97","LOD Cd111","LOD Sn118","LOD Ba138","LOD Pb208","LOD Th232","LOD U238"
"Stand1.csv","Stand1.csv","1","1.8","21.2","28.3","88.4","5608.51666666667","776.6","1771.04166666667","2748.8","3007.075","5262.6","5737.2","4538.3","5142.26666666667","5090.83333333333","712.25","412","55952.9166666667","35.5666666666667","105.625","1396.75","204.583333333333","1660.35","96.0416666666667","80.6","96.8833333333333","1364.95118294325","540.15694688926","5844.97589218529","6632.06600923944","6828.68201433882","1177.90387630663","914.014879528774","5624.69866538321","1432.20600600485","1770.00685668934","427.932776156595","402.900456914383","3910.95888370103","63.1127994510262","181.28275315349","518.619721428472","231.824531998586","6252.67136445041","324.32333508679","795.538335742762","1006.84113443979"
"Stand2.csv","Stand2.csv","5","1.8","17.7","28.3","88.4","5797.78","676.32","6766.51","11719.36","1743.94","4744.82","5390.64","151600.46","5268.24","4508.66","748.56","508.97","55099.8","16.43","94.55","1377.3","153.5","3022.84","71.19","12.52","6.67","811.244202444616","469.262843191319","6085.38304045029","3529.48134206713","6828.88204056857","1179.0869162195","1126.14936131936","15734.2099389833","1580.41756001381","1575.25829754996","473.203195255484","289.004672972601","3364.84887030606","35.4265578344834","205.829796190931","879.30551004756","168.789810118976","8575.14710917545","102.628987133266","76.7433124122226","63.2771759799693"
"Stand3.csv","Stand3.csv","9","1.8","17.7","33.6","88.4","3597.61","372.04","5432.28","7841.57","1068.27","2001.07","3505.33","111524.77","3278.72","2865.02","609.8","206.24","41281.16","22.5","108.39","1457.6","165.25","613.69","36","3.33","0","1370.21322756715","275.771869486356","5487.56627987307","5390.66515756637","5321.23616474593","1244.01426880884","1388.60941988739","5186.62997147473","1203.75214060038","866.363524162923","352.364073083508","311.729119589428","3581.27154848665","46.0977222864644","190.735809432838","671.395740230752","155.621736913582","3911.15206160538","77.0713954719908","31.5911538250821","0"
"Sample1_Rep1.csv","Sample1_Rep1.csv","2","1.8","17.7","37.1","206.8","3097.16","196.68","1582.48","4883.04","1853.76","1789.04","1973","2305.88","3390.98","2458.92","502.85","170.18","19654.48","18.75","106.92","1176.82","128.67","452.14","26","0","0","1105.73381245217","214.211288217965","6232.29078397342","5057.02593863231","6072.80004478988","1131.88523446505","511.368595046665","7624.85031564555","1122.43846869216","819.586234633062","478.53253285435","222.799901256711","1704.91973300798","64.3476883811688","265.552586129377","668.286013619917","169.791639959098","4289.37666380559","102.907725657503","0","0"
"Sample1_Rep2.csv","Sample1_Rep2.csv","3","1.8","21.2","38.9","208.6","2698.71666666667","192.183333333333","2825.85833333333","5387.925","1695.51666666667","1486.61666666667","1775.66666666667","7638.81666666667","3175.03333333333","2393.75833333333","492.575","147.575","19154.75","25","85.4416666666667","1084.98333333333","118.333333333333","1733.18333333333","58.9166666666667","0","0","807.521235859241","201.901837084713","11879.6019509475","6207.96852823047","6385.11430872264","531.008410308332","712.757452051219","54839.8065264888","1234.52387141396","902.17007883013","530.336197185761","241.173645948308","2412.79550145017","63.9602149066831","163.254058142516","593.624755211573","123.706948434229","7050.06001115658","138.174484554198","0","0"
"Sample1_Rep3.csv","Sample1_Rep3.csv","4","1.8","17.7","37.1","206.8","2683.06","214.67","1582.48","5289.96","610.38","1381.87","1750.44","2305.88","3086.18","2349.62","542.06","146.14","18876.38","21.25","108.61","1100.56","106.33","1243.38","49.55","0","0","1250.79167889781","168.461927449498","6232.29078397342","4478.17467993378","3890.05493483061","911.789680244298","280.748542293633","7624.85031564555","1034.27665351201","907.486504582851","533.430130382602","174.417671123083","1568.83086277648","75.104094428999","197.823125544007","464.75841466293","108.123545076917","6076.59926899907","169.498746308048","0","0"
"Sample2_Rep1.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample2_Rep2.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample2_Rep3.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample3_Rep1.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
