"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",38.9,670.283333333333,1271.21666666667,16163.8416666667,4197518.875,1695.48333333333,-33.1166666666666,289.533333333333,76593.9833333333,-66.8333333333335,-37.7583333333332,148.625,593.825,2868832.45,87.5,-25.4416666666667,-202.783333333333,81.6666666666667,41698.9166666667,-38.9166666666667,0,0
"2",40.7,510.083333333333,1331.41666666667,10738.2416666667,4047934.375,-1695.51666666667,-32.8166666666666,450.333333333333,82046.7833333333,113.766666666667,714.541666666667,208.825,478.425,2744902.85,75,181.558333333333,158.216666666667,41.6666666666667,38986.1166666667,-58.9166666666667,0,0
"3",42.4,-171.916666666667,1411.61666666667,16163.8416666667,4091474.675,-1695.51666666667,117.383333333333,-131.466666666667,87526.6833333333,-307.433333333333,238.241666666667,208.925,674.225,2469542.85,62.5,34.5583333333333,-283.383333333333,11.6666666666667,36246.2166666667,-38.9166666666667,0,0
"4",44.2,309.283333333333,1351.61666666667,10738.2416666667,4115917.375,-1695.51666666667,-43.2166666666665,389.933333333333,101117.883333333,735.466666666667,-263.258333333333,409.425,433.425,2250022.85,87.5,39.5583333333333,-203.183333333333,-28.3333333333333,36246.2166666667,-18.9166666666667,0,33.3
"5",46,329.283333333333,1492.01666666667,14129.2416666667,4309096.675,5086.48333333333,92.3833333333334,490.333333333333,120161.783333333,-467.833333333333,-313.458333333333,-171.975,213.025,2215731.65,12.5,34.7583333333333,37.6166666666666,41.6666666666667,38986.1166666667,66.0833333333333,0,0
"6",47.7,610.083333333333,1090.61666666667,10738.2416666667,4325400.875,-1695.51666666667,267.883333333333,309.733333333333,125614.583333333,-428.033333333333,12.541666666667,258.925,373.225,2968042.25,12.5,-45.4416666666667,318.616666666667,11.6666666666667,44438.9166666667,81.0833333333333,0,0
"7",49.5,-151.916666666667,1110.81666666667,10738.2416666667,4197545.775,2825.88333333333,-32.8166666666666,309.533333333333,136492.883333333,-347.633333333333,-513.958333333333,108.825,293.225,2153382.05,0,48.2583333333333,-62.5833333333334,21.6666666666667,41698.9166666667,-58.9166666666667,0,0
"8",51.3,610.083333333333,790.016666666667,10738.2416666667,4154005.375,-1695.51666666667,217.883333333333,-11.0666666666668,141918.583333333,-146.833333333333,238.041666666667,68.6250000000001,634.025,2002061.75,62.5,64.5583333333333,-202.983333333333,-68.3333333333333,49891.6166666667,1.08333333333333,0,0
"9",53,569.683333333333,1251.21666666667,16163.8416666667,4377106.875,-1695.51666666667,42.1833333333334,-11.2666666666667,150084.083333333,-247.233333333333,564.041666666667,83.725,629.225,2138810.05,0,-60.4416666666667,77.6166666666666,31.6666666666667,52604.4166666667,41.0833333333333,0,0
"10",54.8,670.283333333333,1291.41666666667,13451.0416666667,4260076.375,-1695.51666666667,42.1833333333334,48.9333333333332,150056.983333333,-106.833333333333,63.041666666667,-11.975,453.625,2193048.15,-12.5,-85.4416666666667,97.8166666666666,-28.3333333333333,52631.6166666667,21.0833333333333,0,0
"11",56.6,569.883333333333,1351.61666666667,13451.0416666667,4265529.075,1695.48333333333,643.883333333333,650.533333333333,158222.583333333,153.766666666667,163.041666666667,183.925,814.625,2113043.65,87.5,14.5583333333333,138.016666666667,81.6666666666667,52604.4166666667,-25.6166666666667,50,0
