"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",37.1,NA,5.94819020666131e-06,9.81479518166118e-05,1,NA,NA,1.7101167463112e-06,3.0708278465395e-05,NA,NA,NA,1.57888457255337e-07,0.00729345115336477,NA,NA,NA,1.15384609172968e-07,1.07992932389154e-05,NA,0,0
"2",38.9,NA,6.55131990977306e-06,8.04671943899963e-05,1,NA,NA,1.5445669014763e-06,3.35154533891608e-05,NA,NA,NA,1.72121160522866e-07,0.00667099206251328,4.4733659967106e-08,NA,NA,NA,1.08585005900109e-05,NA,0,0
"3",40.7,NA,5.76161837584902e-06,0.00010676507217237,1,NA,NA,NA,3.73884602310317e-05,NA,NA,NA,2.05712712471926e-07,0.00784021845379151,NA,NA,NA,1.30532572798943e-07,1.12291749415154e-05,NA,0,0
"4",42.4,NA,4.8698787140541e-06,0.00010463139833985,1,NA,NA,1.72989009505965e-06,4.20689540321078e-05,NA,NA,NA,1.25659380689336e-07,0.00582577854847605,2.90097522663127e-08,NA,NA,NA,1.23117594165396e-05,NA,0,0
"5",44.2,NA,5.39782774886735e-06,8.41159592389039e-05,1,NA,NA,2.70902100388558e-06,4.69946427162539e-05,NA,NA,NA,1.94038886871877e-07,0.00559472657593201,NA,NA,NA,NA,1.29187706339626e-05,NA,0,0
"6",46,NA,5.41712313438669e-06,0.00010192326512087,1,NA,NA,1.370078071002e-06,4.73362549633104e-05,NA,NA,NA,2.19322012377408e-07,0.00551585586131789,NA,NA,NA,NA,1.43128316988884e-05,NA,0,0
"7",47.7,NA,3.90859808463596e-06,8.7063708790549e-05,1,4.41474204370306e-05,NA,NA,5.05386037055608e-05,NA,NA,NA,1.64609251630764e-07,0.00557535546172686,NA,NA,NA,NA,1.4194997243767e-05,NA,0,0
"8",49.5,NA,4.98203800117863e-06,0.000105177543945446,1,NA,NA,4.32021538744571e-06,5.1650702429397e-05,NA,NA,NA,1.88821158775568e-07,0.00543312827925426,NA,NA,NA,NA,1.5573080682696e-05,NA,0,0
"9",51.3,NA,5.23366365508703e-06,0.000104970378883979,1,NA,NA,2.01412896424931e-06,5.34232871280323e-05,NA,NA,NA,2.90003394656268e-07,0.00552203813490674,NA,NA,NA,NA,1.55424068516114e-05,NA,0,0
"10",53,NA,7.42856778644201e-06,0.000136075626114779,1,NA,NA,2.51743339489829e-06,5.89778929973577e-05,NA,NA,NA,1.71429398465001e-07,0.00554705526284376,NA,NA,NA,NA,1.65843497176889e-05,NA,0,0
