"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",37.1,NA,0.000328224196351967,0.00328159879389974,1,NA,NA,8.82482316006635e-05,0.0213374245948384,NA,NA,NA,0.000106091722097913,0.668073844376499,NA,NA,NA,2.53851009364496e-05,0.00881587238285572,NA,0,0
"2",38.9,NA,0.000361505203720924,0.00269043870168684,1,NA,NA,7.97052586837808e-05,0.0232879697329475,NA,NA,NA,0.000115655258445087,0.611057127729208,2.89104464039238e-05,NA,NA,NA,0.00886420558761617,NA,0,0
"3",40.7,NA,0.000317929066723849,0.00356971414672119,1,NA,NA,NA,0.0259791004499247,NA,NA,NA,0.0001382267982281,0.718157258208226,NA,NA,NA,2.87177168579597e-05,0.00916680110994963,NA,0,0
"4",42.4,NA,0.000268722413325302,0.00349837428332337,1,NA,NA,8.92686081706479e-05,0.0292313076245995,NA,NA,NA,8.44356853365745e-05,0.533636297758842,1.87484075459743e-05,NA,NA,NA,0.0100505558487396,NA,0,0
"5",44.2,NA,0.000297854912731982,0.0028124359732119,1,NA,NA,0.000139795317177984,0.032653886685619,NA,NA,NA,0.000130382676606359,0.512472136060569,NA,NA,NA,NA,0.0105460821122991,NA,0,0
"6",46,NA,0.000298919642033727,0.00340782724142758,1,NA,NA,7.07010016606039e-05,0.0328912534781096,NA,NA,NA,0.000147371444319515,0.505247646527014,NA,NA,NA,NA,0.0116841069969284,NA,0,0
"7",47.7,NA,0.000215678453549749,0.0029109946409615,1,0.000950201914323207,NA,NA,0.0351163822781869,NA,NA,NA,0.000110607699146203,0.510697758682183,NA,NA,NA,NA,0.0115879142650827,NA,0,0
"8",49.5,NA,0.000274911420502415,0.00351663478420438,1,NA,NA,0.000222938795785981,0.0358891160114899,NA,NA,NA,0.000126876671361904,0.497669871256698,NA,NA,NA,NA,0.012712896008031,NA,0,0
"9",51.3,NA,0.000288796253563593,0.0035097081738853,1,NA,NA,0.000103936365569238,0.037120783634529,NA,NA,NA,0.000194865160431379,0.50581393746345,NA,NA,NA,NA,0.0126878557971253,NA,0,0
"10",53,NA,0.000409912192959211,0.00454971909522653,1,NA,NA,0.000129908701117299,0.0409803612407546,NA,NA,NA,0.000115190435181395,0.508105484837211,NA,NA,NA,NA,0.0135384332501447,NA,0,0
"11",54.8,NA,0.000310601125125135,0.00343390291774415,1,NA,NA,0.000241132828972051,0.039495115818164,NA,NA,0.000125125658466066,0.000237487303288369,0.494965271974537,NA,NA,NA,NA,0.0149559373723365,NA,0,0
"12",56.6,NA,0.000401088393867015,0.00329162947094287,1,NA,NA,0.000146893782937026,0.0384725067999304,NA,NA,NA,0.0002097272984211,0.493983976499289,NA,NA,NA,NA,0.0143362830573845,NA,0,0
"13",58.3,NA,0.000460919309897649,0.00333424009183452,1,NA,NA,NA,0.0377271439462035,NA,NA,NA,0.000253421325167397,0.505150577525658,NA,NA,NA,NA,0.0157529877842372,NA,0,0
"14",60.1,NA,0.000488253597281271,0.00391353335067733,1,NA,NA,0.000156422447930644,0.0367770407314423,NA,NA,NA,0.000237560859822919,0.50835416511661,1.77047656872171e-05,NA,NA,2.66796767505023e-05,0.0186578823570546,NA,0,0
"15",61.9,NA,0.000590048785641437,0.00390161138615451,1,NA,NA,0.000102018440539161,0.0360447942808995,NA,NA,NA,0.000200885507332868,0.499975983663099,NA,NA,NA,NA,0.0198232212018221,NA,0,0
"16",63.6,NA,0.000505359690123554,0.00268881704599085,1,0.00108059224180003,NA,NA,0.0342686305967588,NA,NA,NA,7.96347753425924e-05,0.496233135542149,NA,NA,NA,NA,0.020462344703436,NA,0,0
"17",65.4,NA,0.000355084825422286,0.00332398919583734,1,NA,NA,NA,0.0326957315267455,NA,NA,NA,0.000266259894766333,0.500907646606592,NA,NA,NA,NA,0.0224670771492762,NA,0,0
"18",67.2,NA,0.000295000086927134,0.00331175477477315,1,NA,NA,6.64315323375903e-05,0.0319639929014631,NA,NA,NA,0.000134156717123334,0.515468398398815,NA,NA,NA,NA,0.0248422107993863,NA,0,0
"19",68.9,NA,0.000340336096979501,0.00335701204256981,1,NA,NA,7.64775575606705e-05,0.0317748579659422,NA,NA,NA,0.000186432894082211,0.516174354612206,NA,NA,NA,NA,0.0264212004818095,NA,0,0
"20",70.7,NA,0.000324365037359567,0.00260915766646401,1,NA,NA,NA,0.0279188985885329,NA,NA,NA,0.00022579010334578,0.511702144932378,3.07590726786562e-05,NA,NA,NA,0.026366202376049,NA,0,0
"21",72.5,NA,0.000371172412424708,0.00266281475104102,1,NA,NA,0.000207031412236389,0.0236517587100228,NA,NA,NA,0.000194697001807518,0.494893442961633,NA,NA,NA,NA,0.0269084208740148,NA,0,0
"22",74.2,NA,0.000353685361408749,0.00259994208337922,1,0.000848668668088106,NA,NA,0.0207327588709812,NA,NA,NA,0.000211886159529052,0.506257635429272,NA,NA,NA,NA,0.0268676406795769,NA,0,0
"23",76,NA,0.000259897162264468,0.00206116041818054,1,NA,NA,NA,0.0188218177362258,NA,NA,NA,0.000185919435184201,0.519817722901027,NA,NA,NA,NA,0.0275339643092858,NA,0,0
"24",77.8,NA,0.000339988124782521,0.00140190759783401,1,NA,NA,NA,0.0169390225450791,NA,NA,NA,0.000195931593977869,0.50147616940557,NA,NA,NA,NA,0.0270570013945943,NA,0,0
"25",79.5,NA,0.000376636545812,0.00139461012432425,1,NA,NA,8.83150403321659e-05,0.0156966859038704,NA,NA,NA,0.000301614710196948,0.523141663374601,1.67521182824888e-05,NA,NA,NA,0.0327100734139726,NA,0,0
"26",81.3,NA,0.000483878702059744,0.00133730868898733,1,NA,NA,6.01673862560408e-05,0.0144983736732649,NA,NA,NA,0.000260582551012483,0.541985681712356,NA,NA,NA,NA,0.0374697864704828,NA,0,0
"27",83.1,NA,0.000671325411280458,0.00173982024844045,1,NA,NA,NA,0.0143893098110156,NA,NA,NA,0.000344026096582727,0.537029629840469,NA,NA,NA,NA,0.0371966688027558,NA,0,0
"28",84.8,NA,0.00077674422008483,0.00180549898329238,1,NA,NA,NA,0.0143623521023818,NA,NA,NA,0.000314894430920088,0.578333452298496,NA,NA,NA,NA,0.0443195678975685,NA,0,0
"29",86.6,NA,0.000730398188626368,NA,1,NA,NA,6.99985915437447e-05,0.0137192976315913,NA,NA,NA,0.000313058544447164,0.567322706467707,NA,NA,NA,NA,0.0452065641175041,NA,0,0
"30",88.4,NA,0.000654440957596932,0.00172743472484678,1,NA,NA,6.73558219333263e-05,0.0126503547901964,NA,NA,NA,0.000281050089811717,0.541109764061701,NA,NA,NA,NA,0.0462382595892653,NA,4.021723306265e-06,0
"31",90.2,NA,0.000558894987706435,0.00179623056712742,1,NA,NA,9.09895668237971e-05,0.0137213922798803,NA,NA,NA,0.000309012412046642,0.556514659990351,2.69209181187698e-05,NA,NA,NA,0.0463666698801705,NA,0,0
"32",91.9,NA,0.00053219887268987,NA,1,NA,NA,0.000168832109057136,0.0130136838862937,NA,NA,NA,0.000230993999828148,0.551872898051516,NA,NA,NA,NA,0.0453103338171314,NA,0,0
"33",93.7,NA,0.000477721501627525,NA,1,NA,NA,0.000201154749726783,0.0138055463934654,NA,NA,NA,0.00029391355221119,0.54720089809531,NA,NA,NA,3.2315223708408e-05,0.0426269533435042,NA,0,0
"34",95.5,NA,0.000381710828546541,NA,1,0.000815455411044826,NA,8.66033821181122e-05,0.0131168845374044,NA,NA,NA,0.000320646853871726,0.538369545463642,1.90258056102603e-05,NA,NA,NA,0.0411389667485088,NA,0,0
"35",97.2,NA,0.000383919970494049,NA,1,NA,NA,0.000136073951276132,0.0136129794784401,NA,NA,NA,0.00026080909808743,0.53714062119771,NA,NA,NA,NA,0.0363997653709692,NA,0,0
"36",99,NA,0.000469267864114488,0.00194913775044998,1,NA,NA,8.30560358187692e-05,0.0137998268028464,NA,NA,NA,0.000234906257270899,0.535400458768939,2.44461823068967e-05,NA,NA,NA,0.0340527055148278,NA,0,0
"37",100.8,NA,0.000438456196451066,NA,1,NA,NA,7.66170004343314e-05,0.0135848011383694,NA,NA,NA,0.000288686537640581,0.526433652990873,NA,NA,NA,NA,0.0320131150967924,NA,0,0
"38",102.5,NA,0.000315791459045963,NA,1,NA,NA,0.000122726422661697,0.0139031965275977,NA,NA,NA,0.00028219831502162,0.526583659606404,NA,NA,NA,NA,0.0327694128289104,NA,0,0
"39",104.3,NA,0.00042443231719478,0.00145612048423731,1,NA,NA,0.000110023283241985,0.0133702898675073,NA,NA,NA,0.000337128433264049,0.513683024209205,NA,NA,NA,NA,0.0311340660137123,NA,0,0
"40",106.1,NA,0.000343089309600407,0.00143271742472308,1,NA,NA,7.76159441488988e-05,0.0131553998959156,NA,NA,NA,0.000226505860661582,0.492253189678537,NA,NA,NA,NA,0.0264599912907375,NA,0,0
"41",107.8,NA,0.000457274878106919,0.00206617098940442,1,NA,NA,0.000119385049562451,0.0140297317369162,NA,NA,NA,0.000208707607930652,0.477846311360864,NA,NA,NA,NA,0.0233556800377595,NA,0,0
"42",109.6,NA,0.000318858349841871,NA,1,NA,NA,NA,0.0134270831113045,NA,NA,NA,0.000325221999937349,0.473531676626363,1.75652802319975e-05,NA,NA,NA,0.0203322345505186,NA,0,0
"43",111.4,NA,0.00040019878177398,NA,1,NA,NA,0.000117274756926426,0.0133059900305758,NA,NA,NA,0.000353278711182958,0.472393140705213,NA,NA,NA,NA,0.0171446738102855,NA,0,0
"44",113.1,NA,0.000422049663037792,0.00144824934803574,1,NA,NA,0.000131607620530112,0.0139032794531022,NA,NA,NA,0.000264483247878142,0.463391107862284,NA,NA,NA,NA,0.0147372921604833,NA,0,0
"45",114.9,NA,0.000277564244311526,0.00190917120418523,1,0.00137159091500557,NA,0.000119023729659373,0.014584144987562,NA,NA,NA,0.000212609681858122,0.431330213034119,NA,NA,NA,NA,0.0148263216964458,NA,0,0
"46",116.7,NA,0.000397995102936271,0.00154380080540666,1,NA,NA,NA,0.0141753821125521,NA,NA,NA,0.000266532596433083,0.438193194682882,2.73747763286501e-05,NA,NA,NA,0.0144255816811473,NA,0,4.70963893826239e-06
"47",118.4,NA,0.000278788033588242,NA,1,NA,NA,0.000109621466624624,0.0145137797914773,NA,NA,NA,0.00019741365011502,0.396584808884257,2.10429123811363e-05,NA,NA,2.73661634221309e-05,0.0135076172598593,NA,0,0
"48",120.2,NA,0.00031823973304406,NA,1,NA,NA,NA,0.0125379671042908,NA,NA,NA,0.000237468820107564,0.386599683447279,NA,NA,NA,NA,0.012787537705212,NA,0,0
"49",122,NA,0.000369407093578232,NA,1,NA,NA,0.000187361617363015,0.0141663324408649,NA,NA,NA,0.000328960649174869,0.376805547681098,1.85323645590553e-05,NA,NA,NA,0.0144227497668782,NA,0,0
"50",123.7,NA,0.000321378851299365,NA,1,NA,NA,0.000139797089158699,0.0141302473489736,NA,NA,NA,0.000336291385845426,0.368430449330839,NA,NA,NA,3.07898182969752e-05,0.0118325011162571,NA,1.1736608331545e-05,0
"51",125.5,NA,0.000390578259268615,0.00157098760161743,1,NA,NA,NA,0.0131248845378317,NA,NA,NA,0.00021961026025002,0.362428583232689,NA,NA,NA,NA,0.0133794901960335,NA,0,0
"52",127.3,NA,0.000327794509834914,NA,1,0.000922754769460491,NA,0.000131077222750451,0.014202781918461,NA,NA,NA,0.000249305310302203,0.349278381855696,NA,NA,NA,NA,0.0144598589972804,NA,0,0
"53",129,NA,0.000355130790675095,NA,1,NA,NA,NA,0.0130568117915561,NA,NA,NA,0.000213703522523273,0.338254210187768,NA,NA,NA,2.94811978565169e-05,0.0152566378918225,NA,0,0
"54",130.8,NA,0.000369171394378463,NA,1,NA,NA,0.000154269630991633,0.0148016673349583,NA,NA,NA,0.000286276984908951,0.334936880494403,NA,NA,NA,NA,0.0144071739527012,NA,0,0
"55",132.6,NA,0.000300782515648616,NA,1,NA,NA,NA,0.0142667034463804,NA,NA,NA,0.000149394677112874,0.336155660968067,NA,NA,NA,NA,0.0151678683684154,NA,0,0
"56",134.3,NA,0.000277208569059856,0.00207340318205016,1,NA,NA,NA,0.0151839519599696,NA,NA,NA,0.000279267365167995,0.343233320316979,NA,NA,NA,NA,0.0141308765438593,NA,0,0
"57",136.1,NA,0.000372665027091472,0.00151755797109783,1,NA,NA,0.00017971105602898,0.0151966257839523,NA,NA,NA,0.000239965046296824,0.333709889522839,NA,NA,NA,NA,0.0135586802014119,NA,0,0
"58",137.9,NA,0.000241380616095027,NA,1,0.000918036444682129,NA,NA,0.0141301587903392,NA,NA,NA,0.000182118157404226,0.352576119150653,2.43533096572687e-05,NA,NA,NA,0.0118260657564618,NA,0,0
"59",139.6,NA,0.00032748383127953,0.00156788925909905,1,NA,NA,9.93359410516572e-05,0.0143965654636646,NA,NA,NA,0.000257489970851014,0.358677081742894,NA,NA,NA,NA,0.012704319736374,NA,0,0
"60",141.4,NA,0.000363998671394162,NA,1,NA,NA,NA,0.01477625140976,NA,NA,NA,0.000224652145368329,0.350415918857691,NA,NA,NA,NA,0.0124707049219602,NA,0,0
"61",143.2,NA,0.000404474146149055,NA,1,NA,NA,NA,0.0152338262924899,NA,NA,NA,0.000323917361442197,0.361933620870388,NA,NA,NA,NA,0.0135203812781896,NA,0,0
"62",144.9,NA,0.000364700444144157,NA,1,0.000920386603509438,NA,NA,0.014172709260532,NA,NA,NA,0.000301850433098633,0.356221357084681,NA,NA,NA,NA,0.0137843415171373,NA,0,0
"63",146.7,NA,0.000529987456263029,NA,1,NA,NA,9.94830256596235e-05,0.0131247143900706,NA,NA,NA,0.000282053883280943,0.378677028352404,NA,NA,NA,NA,0.0133858106054062,NA,0,0
"64",148.5,NA,0.000431026831412432,NA,1,NA,NA,0.000128874983644485,0.0151440912396753,NA,NA,NA,0.000297840448042393,0.380450915792576,2.19662325492365e-05,NA,NA,3.15760079285847e-05,0.0154063861107509,NA,0,0
"65",150.2,NA,0.000560642790396266,NA,1,0.000886890166804434,NA,0.000166936774855345,0.0136507640400662,NA,NA,NA,0.000262337640403111,0.376358528054127,NA,NA,NA,NA,0.0132765305044982,NA,0,0
"66",152,NA,0.000427334408384324,NA,1,NA,NA,NA,0.0145322330507714,NA,NA,NA,0.000211611035595629,0.38700478449305,1.81834112270648e-05,NA,NA,NA,0.013524791253631,NA,0,0
"67",153.8,NA,0.00059320350928328,0.00148847938768278,1,NA,NA,0.000135218060032514,0.0136674135763927,NA,NA,NA,0.0003355839979375,0.389061205865923,NA,NA,NA,2.69432587548835e-05,0.015146670454843,NA,0,0
"68",155.6,NA,0.000578455034627655,NA,1,NA,NA,NA,0.0126303153028051,NA,NA,NA,0.000303837586530027,0.380454687853009,NA,NA,NA,2.49752096820128e-05,0.0140558599314483,NA,0,0
"69",157.3,NA,0.000518196598642816,0.00146944563415606,1,NA,NA,NA,0.0128845954413044,NA,NA,NA,0.000254771271540809,0.399964586734979,NA,NA,NA,NA,0.0137307921768701,NA,0,0
"70",159.1,NA,0.000560340044796836,0.00148574314830739,1,0.00109125494554429,NA,NA,0.0130274975478253,NA,NA,NA,0.000243999349909187,0.386573605010328,NA,NA,NA,NA,0.0138830793895508,NA,0,0
"71",160.9,NA,0.0005867245586852,NA,1,NA,NA,0.000101626402167491,0.0127849264775858,NA,NA,NA,0.000242099517581926,0.37970002667985,NA,NA,NA,NA,0.0136792836559584,NA,0,0
"72",162.6,NA,0.000522511346119197,NA,1,NA,NA,NA,0.0140939014602878,NA,NA,NA,0.000317819920825084,0.360297838842332,NA,NA,NA,NA,0.0124308641114063,NA,0,0
"73",164.4,NA,0.000456635634291199,0.00207472116541824,1,NA,NA,NA,0.0138832515759126,NA,NA,NA,0.000197088995107538,0.359721353460166,NA,NA,NA,NA,0.0115125853662269,NA,0,8.04237866955987e-06
"74",166.2,NA,0.000352354221326977,0.00159384411188753,1,NA,NA,NA,0.0133158402512466,NA,NA,NA,0.000130178490303618,0.352820618479646,NA,NA,NA,NA,0.0109228568723602,NA,0,0
"75",167.9,NA,0.000371900687207548,NA,1,0.00150041492236136,NA,0.000110656335947774,0.0133158402512466,NA,NA,NA,0.00013008124420471,0.365208993511774,NA,NA,NA,NA,0.00893767500924579,NA,0,0
