"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",37.1,NA,1469.73,14694.42,4477823.44,NA,NA,395.16,95545.22,NA,NA,NA,475.06,2991516.72,NA,NA,NA,113.67,39475.92,NA,0,0
"2",38.9,NA,1609.93,11981.62,4453407.54,NA,NA,354.96,103710.82,NA,NA,NA,515.06,2721286.42,128.75,NA,NA,NA,39475.92,NA,0,0
"3",40.7,NA,1369.13,15372.62,4306400.84,NA,NA,NA,111876.42,NA,NA,NA,595.26,3092673.02,NA,NA,NA,123.67,39475.92,NA,0,0
"4",42.4,NA,1128.73,14694.42,4200356.74,NA,NA,374.96,122781.92,NA,NA,NA,354.66,2241462.82,78.75,NA,NA,NA,42215.92,NA,0,0
"5",44.2,NA,1268.93,11981.62,4260228.54,NA,NA,595.56,139113.02,NA,NA,NA,555.46,2183248.42,NA,NA,NA,NA,44928.72,NA,0,0
"6",46,NA,1288.93,14694.42,4311961.54,NA,NA,304.86,141825.82,NA,NA,NA,635.46,2178608.42,NA,NA,NA,NA,50381.42,NA,0,0
"7",47.7,NA,887.73,11981.62,4115988.34,3911.02,NA,NA,144538.62,NA,NA,NA,455.26,2102026.02,NA,NA,NA,NA,47695.72,NA,0,0
"8",49.5,NA,1148.73,14694.42,4178545.94,NA,NA,931.56,149964.32,NA,NA,NA,530.16,2079536.42,NA,NA,NA,NA,53121.42,NA,0,0
"9",51.3,NA,1209.13,14694.42,4186792.54,NA,NA,435.16,155417.02,NA,NA,NA,815.86,2117738.02,NA,NA,NA,NA,53121.42,NA,0,0
"10",53,NA,1690.53,18763.62,4124127.14,NA,NA,535.76,169008.22,NA,NA,NA,475.06,2095491.62,NA,NA,NA,NA,55834.22,NA,0,0
"11",54.8,NA,1329.13,14694.42,4279218.24,NA,NA,1031.86,169008.22,NA,NA,535.44,1016.26,2118064.42,NA,NA,NA,NA,63999.72,NA,0,0
"12",56.6,NA,1790.53,14694.42,4464178.04,NA,NA,655.76,171748.12,NA,NA,NA,936.26,2205232.42,NA,NA,NA,NA,63999.72,NA,0,0
