"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",38.8677,NA,6.62531285624304e-06,0.0001038120934127,1,NA,NA,NA,3.34027069687231e-05,NA,NA,NA,2.43058359537212e-07,0.00636625622615175,NA,NA,NA,NA,1.16593131262327e-05,NA,0,0
"2",40.6677,NA,7.63651057706284e-06,9.05242037825473e-05,1,NA,NA,NA,3.57318168450199e-05,NA,NA,NA,2.09257534194923e-07,0.00641629951351475,NA,NA,NA,NA,1.16126225343331e-05,NA,0,0
"3",42.4677,NA,5.80807692758381e-06,9.21066134199994e-05,1,NA,NA,NA,3.93769430119295e-05,NA,NA,NA,2.33800779000247e-07,0.00506876941332632,4.72272619898918e-08,NA,NA,NA,1.01073439518228e-05,NA,8.51677662565067e-09,0
"4",44.1677,NA,6.36055166434682e-06,9.4758066727849e-05,1,NA,NA,NA,4.56723376989442e-05,NA,NA,NA,1.5387665814355e-07,0.00563663622527169,3.32435883974617e-08,NA,NA,NA,1.12858045123623e-05,NA,0,0
"5",45.9677,NA,2.8980251929967e-06,7.29527982704279e-05,1,NA,NA,NA,3.91444462101897e-05,NA,NA,NA,1.30646696582442e-07,0.00454142124246482,2.16562368540699e-08,NA,NA,NA,1.00418029529418e-05,NA,0,0
"6",47.7677,NA,5.17939519404714e-06,7.03184028513282e-05,1,NA,NA,NA,4.97940365470911e-05,NA,NA,NA,2.23261419295627e-07,0.0054629213137808,4.66081693206779e-08,NA,NA,NA,1.33550290878623e-05,NA,0,0
"7",49.4677,NA,4.20201283403396e-06,9.38119079009969e-05,1,NA,NA,NA,5.44557876310653e-05,NA,NA,NA,1.28730625136085e-07,0.00546631063241029,2.78483203578459e-08,NA,NA,NA,1.55315903331647e-05,NA,0,0
"8",51.2677,NA,6.10975899320212e-06,0.000115134765695076,1,NA,NA,NA,5.24492792635121e-05,NA,NA,NA,1.36776504785354e-07,0.00553989927300694,3.80022390966813e-08,NA,NA,NA,1.46721634346171e-05,NA,0,0
"9",53.0677,NA,5.55096510214158e-06,0.000116705515645448,1,NA,NA,NA,5.47933205211846e-05,NA,NA,NA,2.53711547889053e-07,0.00538614734463991,NA,NA,NA,NA,1.50597232180695e-05,NA,0,0
"10",54.7677,NA,5.99525252364885e-06,0.000111248055562096,1,NA,NA,NA,5.85947670663634e-05,NA,NA,NA,2.0765293385559e-07,0.00555199424862206,NA,NA,NA,NA,1.58760400899128e-05,NA,0,0
"11",56.5677,NA,8.14826095782072e-06,0.000113038826499546,1,7.51016140221555e-05,NA,NA,5.65154075493585e-05,NA,NA,NA,2.95513188202529e-07,0.00559311358298037,NA,NA,NA,NA,1.78410831001496e-05,NA,0,0
"12",58.3677,NA,7.42712073738436e-06,0.000107975978170051,1,NA,NA,NA,5.59217668942894e-05,NA,NA,NA,2.82277572639578e-07,0.00541684865664913,NA,NA,NA,NA,1.70420063530963e-05,NA,0,0
"13",60.0677,NA,7.70616601789629e-06,0.00013651024690967,1,NA,NA,NA,5.53579645079711e-05,NA,NA,NA,1.70586815795536e-07,0.00581579040974059,NA,NA,NA,NA,2.17313097723002e-05,NA,0,0
"14",61.8677,NA,1.01876283834065e-05,0.000101658474025738,1,NA,NA,NA,5.08256345923188e-05,NA,NA,NA,3.00255037804899e-07,0.00521993811884833,NA,NA,NA,NA,2.37393703806559e-05,NA,0,0
"15",63.6677,NA,8.01677983503574e-06,0.000138804737282293,1,NA,NA,2.75025013183232e-06,5.24161548881331e-05,NA,NA,NA,2.04779018607112e-07,0.00570054930729051,2.63114170764547e-08,NA,NA,NA,2.37404522809149e-05,NA,0,0
"16",65.3677,NA,7.0036573939133e-06,0.000136599500182991,1,NA,NA,NA,4.58624501344637e-05,NA,NA,NA,1.56135992543261e-07,0.00540220941288388,2.52154625683636e-08,NA,NA,NA,2.49810414542712e-05,NA,0,0
"17",67.1677,NA,7.41746851262405e-06,0.000129293830925808,1,NA,NA,NA,4.97203156910763e-05,NA,NA,NA,2.92649628495817e-07,0.00548619788813148,3.12216342696882e-08,NA,NA,NA,2.88050856631103e-05,NA,0,0
"18",68.9677,NA,7.04664938501668e-06,0.000130798026185396,1,NA,NA,NA,4.63654815296429e-05,NA,NA,NA,2.06170920831003e-07,0.00579259623021519,NA,NA,NA,NA,3.24880911957622e-05,NA,0,0
"19",70.6677,NA,6.1887984500965e-06,0.000100896819887885,1,NA,NA,NA,4.14637136379655e-05,NA,NA,NA,3.39073353741853e-07,0.00563922945914951,2.88623890182031e-08,NA,NA,NA,3.04506781665319e-05,NA,0,0
"20",72.4677,NA,4.9782513168839e-06,0.000107188692615072,1,NA,NA,NA,3.92692673703342e-05,NA,NA,NA,2.65628043722876e-07,0.00567689552170216,NA,NA,NA,NA,3.07285830299257e-05,NA,0,0
"21",74.2677,NA,4.58700764645695e-06,9.01522826134741e-05,1,NA,NA,NA,3.6567204337745e-05,NA,NA,NA,2.66429589462273e-07,0.00564964925712564,NA,NA,NA,NA,3.33766088773314e-05,NA,0,0
"22",75.9677,NA,7.54467321429235e-06,8.73411893096178e-05,1,NA,NA,NA,3.16111739500528e-05,NA,NA,NA,2.43612912849406e-07,0.00580436760758267,2.59274699209443e-08,NA,NA,NA,3.47657079801638e-05,NA,0,0
"23",77.7677,NA,5.72627878886186e-06,8.40549413873045e-05,1,NA,NA,NA,2.67404076124115e-05,NA,NA,NA,1.36426146726453e-07,0.00571449056245281,2.94886543251002e-08,NA,NA,NA,3.58038613575981e-05,5.90531310039207e-08,0,0
"24",79.5677,NA,6.31906392857418e-06,6.49824209808806e-05,1,NA,NA,3.67715793241219e-06,2.5808221718342e-05,NA,NA,NA,5.00194828939293e-07,0.0058247991827535,NA,NA,NA,NA,3.96993412416832e-05,NA,0,0
"25",81.2677,NA,9.38331136753714e-06,5.66162331787339e-05,1,NA,NA,NA,2.16800278499825e-05,NA,NA,NA,3.51820793538796e-07,0.00589963436314396,NA,NA,NA,NA,4.46493990839493e-05,NA,0,0
"26",83.0677,NA,8.75403903477177e-06,4.3258824238303e-05,1,NA,NA,NA,2.25673231050766e-05,NA,NA,NA,2.73179406045118e-07,0.00605612603228259,5.3339012236378e-08,NA,NA,NA,4.69096206507574e-05,NA,0,0
"27",84.8677,NA,8.12264483631994e-06,5.79003389465609e-05,1,NA,NA,NA,2.30515765856997e-05,NA,NA,NA,2.85815975310173e-07,0.00633055947105408,NA,NA,NA,NA,5.16681367695505e-05,NA,0,0
"28",86.5677,NA,1.20993084785335e-05,5.73377387639661e-05,1,NA,NA,NA,2.28275913477517e-05,NA,NA,NA,2.89681175245134e-07,0.00624865242370376,5.39541694225517e-08,NA,NA,NA,5.86118674870518e-05,NA,0,0
"29",88.3677,NA,7.75101516247882e-06,4.25937291550966e-05,1,NA,NA,NA,2.22203553845571e-05,NA,NA,NA,2.88505727213647e-07,0.00604752361792369,3.99143916936287e-08,NA,NA,NA,6.06693388295598e-05,NA,0,1.83882898645243e-08
