"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,72761.02,53795.48,54911.09,1384246.94,12248.26,319519.18,26478.16,398292.94,90458.16,80889.34,38400.64,300590.23,107253.8,328883.57,30671.05,27382.7,145000.1,636728.16,319359.21,337989.88,348564.53
"2",30.1,100439.02,55299.88,50034.39,1512324.84,19513.86,390034.38,33758.56,482165.84,101609.76,94126.14,44116.44,356969.43,124661.8,398327.57,39114.85,27563.3,158483.3,659172.36,346054.41,385584.28,429513.33
"3",31.8,112151.42,66110.08,53581.79,1676916.54,20161.06,480328.78,36967.36,455168.04,104036.56,98558.94,40025.04,390881.43,128513,445634.57,44549.85,30110.7,168312.1,677866.96,357866.41,423529.88,460436.53
"4",33.6,120073.42,45953.88,50712.19,1703830.14,22159.96,465669.58,39654.96,475692.64,109912.96,104996.94,42010.64,414830.23,144417,473552.57,43506.85,32918.1,166760.9,689944.96,348119.21,452731.48,471628.53
"5",35.4,117085.02,42744.88,48005.29,1814179.24,17387.96,468533.58,39815.36,478713.04,111317.36,103773.74,39824.44,430452.63,141769,477554.07,43186.25,27302.5,170925.7,665636.36,363383.21,461717.08,473255.73
"6",37.1,128275.82,53915.68,49417.29,1758003.04,21610.36,472127.18,42242.16,469224.04,110534.96,105678.94,38902.04,419383.83,146281.8,475427.07,43647.45,30731.9,164538.5,655222.16,346135.21,466267.48,469082.93
"7",38.9,123382.22,39134.68,54594.49,1798570.04,19127.16,493423.18,39875.36,490144.34,106864.56,109209.34,38701.44,437031.83,144577.8,489092.57,43206.05,32116.1,161736.1,652608.36,358709.61,456803.48,445434.93
"8",40.7,120876.62,37409.88,44691.79,1686364.54,21916.56,466269.58,39173.56,469252.74,102412.56,97536.14,36234.24,398564.63,138179.4,479593.57,42424.05,27041.9,157080.9,596143.56,319260.01,436205.08,436410.93
"9",42.4,114718.62,32135.08,48903.59,1658765.04,17691.96,432413.58,34380.36,430228.44,98380.96,92963.34,34529.64,375841.43,132041.8,443169.57,38492.85,24634.9,143988.5,576084.76,299504.01,406181.08,403959.73
"10",44.2,105332.22,31793.88,48586.29,1396203.04,27327.96,418978.38,36746.76,437221.34,92424.16,92602.14,31521.24,369803.03,125062.6,426278.07,39054.45,21365.9,141705.7,597427.86,296635.21,401065.88,391466.93
