"","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",33.6,0.0789573964050039,0.032993413267942,0.0362537880168854,1,0.0140543780541619,0.309362390433841,0.0255026961763265,0.310206707508663,0.0664930457882873,0.0649374279042759,0.0281595666214131,0.254928849707719,0.0852058760603902,0.283221077060295,0.0266868887459142,0.0174282996920306,0.0997994144084502,0.381071049598736,0.197054515947433,0.244389965571356,0.252267473249683
"2",35.4,0.0824629655277523,0.0295606099176527,0.0328601346619979,1,0.0145710016711169,0.324805478446489,0.0274266182558646,0.315862568427023,0.0675772408045522,0.064168237868016,0.0284898575570559,0.267804385888677,0.0855752293682389,0.302975011786064,0.0276619764973006,0.0183841430025486,0.10325523132301,0.41298294727354,0.192424202344865,0.255358318935914,0.258289657911451
"3",37.1,0.0824071301044685,0.032505871686009,0.0355390242731893,1,NA,0.316695757153029,0.025416935614607,0.298106307905522,0.0700606070750337,0.0678662101364275,0.0271547494515048,0.263324617898307,0.0872260339465536,0.284691030112227,0.0269029013623718,0.0176872271581913,0.098857499650067,0.368435728801806,0.189722263114356,0.250291316380105,0.242672305204053
"4",38.9,0.0871063651350057,0.0270005777926378,0.0372839295647845,1,0.0136322274398406,0.33911579523496,0.0246964190558599,0.321181363382269,0.0696785651251996,0.0691839150571924,0.0265500144002861,0.281794106657589,0.0905057919022196,0.305432732226195,0.0264803393801676,0.0162985155554066,0.10315513149746,0.382534202384759,0.203069796758079,0.254051744915259,0.254594035354299
"5",40.7,0.0819729321919082,0.0272422656635959,0.0349894334863705,1,0.0153900125894928,0.319961299052401,0.0268603536063805,0.320097264511276,0.0725833342027636,0.0657515414012293,0.0269180746300001,0.272771880402211,0.0910351671916068,0.30585155642687,0.0296348205242655,0.0181276419552474,0.104799663854979,0.403462933934169,0.194430949105857,0.259552291462484,0.263061786279393
"6",42.4,0.0815240854598348,0.0248085101357608,0.0304929956829364,1,0.0154937438428016,0.329732705538902,0.0269654473365539,0.298224482250041,0.0690954725070346,0.0655337292704775,0.0255080845801354,0.271617581589117,0.0894201505126109,0.293535107111648,0.0280352998674185,0.017154972450172,0.095462357191689,0.371098424946861,0.187220108632343,0.244081362009501,0.244365114423446
"7",44.2,0.0801345324233719,NA,0.0365703473540939,1,0.013654695395134,0.338290783065807,0.0276799343472709,0.311455545206965,0.0665412466460279,0.0656213775714788,0.0287645127244745,0.256091550354479,0.0864198186452479,0.302944246871108,0.0277962865361836,0.0168489336974056,0.098045482702777,0.385637106521996,0.193498408373284,0.248642705809411,0.24321852051406
"8",46,0.0817963930868496,0.029619671532076,NA,1,0.0143993373043142,0.316790440597205,0.0256611975736097,0.318863460210268,0.0698161533654639,0.063848565912503,0.0251332314931372,0.26307732412689,0.0875871409077906,0.298884696778327,0.02482747467395,0.0171613980410741,0.102047040904288,0.370397643796935,0.183824059263881,0.251522318709443,0.261688744854207
"9",47.7,0.0823037214037353,0.0257416054225659,0.0336388026662079,1,0.0119244088857129,0.318217274793412,0.025852481977577,0.298174883364255,0.066908342613212,0.0675738319179843,0.0254560918253737,0.268816820288652,0.0814980912626448,0.305558767482378,0.026397656182123,0.0182440850529636,0.0995483363854969,0.383684346761112,0.18728526770632,0.242165540335201,0.245626784226414
"10",49.5,0.0807226531562438,0.0218435534720395,0.0354222061610782,1,0.0141768519244659,0.305544812564789,0.0260704281205797,0.298401494144731,0.067177481240572,0.0630903782256571,0.0247173810693002,0.254837526753893,0.0865791514725094,0.302547996101312,0.0265495563524409,0.0150978981109526,0.0966909195235883,0.369859334509778,0.184034817065905,0.231571176973877,0.22891016654561
"11",51.3,0.0781798478012901,0.0208263947475081,0.0328860014745975,1,0.0153543539756684,0.305504998644316,0.0268564808292383,0.293807937601835,0.064933985859022,0.0609368555697699,0.0252441087260231,0.253794661155843,0.0825153816615233,0.296291182687211,0.0266617485818881,0.0165103381508411,0.0966790679989034,0.342638194643252,0.18163189439975,0.238387034996361,0.24329273066015
"12",53,0.0800358354278492,0.0221203442064718,0.0335043482764317,1,0.0128633390703412,0.31175629142007,0.0259768351952745,0.293948003835542,0.0692359703671,0.0592567616805386,0.0249314996772849,0.257489504670605,0.0815034145598982,0.296084205699572,0.0275328303983449,0.0153052758638548,0.10148170985049,0.371761228678888,0.205843813324511,0.247704041341209,0.250019937108575
"13",54.8,0.0872394203847421,NA,0.034643373780172,1,0.0162191536865994,0.332995541661988,NA,0.304653917939281,0.0703563821171439,NA,0.0264802240070391,0.286022812167748,0.0883209331770358,0.324874136030058,0.0303810431360924,0.0179234991747813,0.108203308318238,0.385854656569939,0.202070652250173,0.267887581522358,0.259847884085739
"14",56.6,0.0831432746070624,0.0368386808869018,0.0339550133142746,1,0.0130357472674105,0.328655637179858,0.027045117368614,0.294205827267749,0.0701598342278546,0.0641694200080046,0.0247484739159664,0.281183109285671,0.0913062378241144,0.303856427058145,0.0287441319593369,0.0150384938955743,0.103403560302816,0.385546367110044,0.189203354391617,0.252473679921248,0.255922993466077
"15",58.3,0.0808281290566506,0.0200991819298491,0.0282140295473824,1,0.01297831810441,0.329045708332236,0.0255002027508834,0.314008054250058,0.0693111745916788,0.0671492626837389,0.0255492859479144,0.263647878280446,0.0892589658906685,0.302048576503123,0.0285316710490605,0.0169483153728728,0.103654407698459,0.389030765684552,0.18787721864596,0.25687981865096,0.247354528758297
"16",60.1,NA,0.0180918734496257,0.030331131434512,1,0.0154178030717987,NA,NA,0.270713938386728,NA,NA,0.0212650066871087,NA,0.0766172289154021,NA,NA,0.0138560718904866,NA,NA,NA,NA,0.220093227489141
"17",61.9,0.0793600109144193,0.0220310132110906,0.032055097734666,1,0.0189928311165873,0.317077689125904,0.0269621402026705,0.294463615520207,0.0675437228336024,0.0628583066680439,0.0225493374361767,0.263804298784088,0.0846931346936422,0.297106897097253,0.0284957845338333,0.0150510111626603,0.0965424332792221,0.366523847475536,0.181573589611606,0.244582015009244,0.23051136642112
"18",63.6,0.0801471127436489,0.0241203773780181,0.0366120043033717,1,NA,0.332483052379749,0.0261441165324081,0.298815584323179,0.0683295233452055,0.0629271091783245,0.0247927361974981,0.273979399840823,0.0894332321906893,0.319781253369471,0.0296026083484957,0.016547676026107,0.111087004455342,0.400377258736038,0.196930524128015,0.26116336531125,0.25968206761869
"19",65.4,0.0781879546481731,0.0220928798140235,0.0338787569859265,1,0.0152719839697873,0.321557523837134,0.0264346479365207,0.296757168140359,0.0715297100119901,0.064003845839103,0.025208496796805,0.270115569921116,0.084846531185753,0.314107089137577,0.0290265440387322,0.0164519617681219,0.101423551447835,0.381506608405737,0.181571930505353,0.246993864109592,0.241027575314943
"20",67.2,0.0807374448061704,0.019704487101958,0.0337189593268013,1,0.0157492270774595,0.329848703289631,0.0269541192083569,0.29335359211377,0.0684593555667091,0.0677484386077969,0.0242130134323117,0.266844942395684,0.0826815692887501,0.298951967847304,0.0263415497122054,0.0150311690045812,0.0972320372465666,0.35973347178095,0.173750206904245,0.233760985761433,0.228018551192044
"21",68.9,0.0769741164704764,0.0209749036190049,0.0338271112887093,1,0.0171793794308207,0.319991785727038,0.0261240253513484,0.304628625648012,0.0642183314465674,0.0643190552719324,NA,0.261516247684046,0.0857122077701016,0.308004202263329,0.0269622000252561,0.0161023096212716,0.101777396578328,0.379390944915033,0.19037565228341,0.250622514074739,0.24178073712483
"22",70.7,0.0799119492581516,0.0212892018883777,0.0292711819686028,1,0.0134983271825319,0.328314447003107,0.0275548502545107,0.287199285322764,0.0687017230301519,0.0655257114072675,0.024001954823988,0.268177345046663,0.0874294178939883,0.314551515730985,0.0285463149152728,0.0149943043670143,0.100696344497226,0.381541133740613,0.187198079407872,0.24307831269042,0.239958544415191
"23",72.5,0.0749094611322868,0.0197003579710833,0.0296846552941334,1,0.0136709933560535,0.312481048347732,0.0275632035117298,0.28302448576084,0.0651165668477755,0.0622235641320535,0.0252985454251715,0.255212943208501,0.085226428160065,0.297495241975448,0.0277244113996969,0.0172717133017201,0.0973885139412514,0.359318161899249,0.18699199669416,0.247762673918646,0.250476565234171
"24",74.2,0.0768384323442038,0.0229692372163555,0.0293314758648309,1,0.0164743353125845,0.319806064255048,0.0277846159421808,0.290412926921842,0.066423911312062,0.0648746916144563,0.0233903088740171,0.285300699482297,0.0891240244265025,0.302682296923283,0.0296861994312986,0.0159220052889032,0.104652342422927,0.37079353513419,0.198251828224671,0.250656689699131,0.244386635933689
"25",76,0.074881376329288,0.0233690332792138,0.0290897938492657,1,0.0170624718460471,0.31732799213609,0.0266948455765555,0.285250762595666,0.0657139461452025,0.0649657249453116,0.0234591715186436,0.268508789504123,0.0818070085802725,0.314342998774396,0.027835185485642,0.0158338932871142,0.103162639723091,0.385117484134058,0.199965344973121,0.259194189973916,0.241258731884143
"26",77.8,0.0793552515456185,0.0198841431469559,0.0299102559379078,1,0.0137808779797569,0.33219543662647,0.02595309259711,0.30511485783367,0.071492131217913,0.064762487305161,0.0234377906209712,0.272629531337827,0.0860111311412315,0.312654929422134,0.0282838668709176,0.0167550218440917,0.106888615201932,0.380551069664435,0.206743176463854,0.259233385767793,0.256670874628686
"27",79.5,0.0787921630378993,0.0216085036349857,0.0319444142756786,1,0.0162917037823176,0.322649469684737,0.027364661132103,0.296796137310636,0.0713243203154562,0.068705151439871,0.0246319142494546,0.265932580710396,0.0867556951699696,0.30917381623384,0.0286457246551732,0.0148519624126835,0.10502619744458,0.372372666730164,0.18997102432139,0.249860717128546,0.238601389425785
"28",81.3,0.0816181144386487,0.0232671894257854,0.0303833312288253,1,0.0140001428575706,0.329279556306681,0.0272210738176739,0.292448366907947,0.0670401935685315,0.0684713487411134,0.0281294160392311,0.280435265417489,0.0860958996434202,0.319696244744604,0.0311433653553883,0.0163141147507866,0.107125850689749,0.374129274527469,0.203610954445919,0.254211413256705,0.248209253211657
"29",83.1,0.0761595882407516,0.019422628242316,0.0322052427124613,1,0.0164307567606841,0.330968200437914,0.0266459297256716,0.284313894042631,0.0681218550537387,0.0648812225943868,0.0231163591096358,0.258436339254488,0.0798522411837577,0.299859489843683,0.0285756755621155,0.0161224812951006,0.102149715346865,0.363905625962463,0.197456135639376,0.247105405743614,0.237916841362086
"30",84.8,NA,0.0179834865786359,0.0287486406555362,1,0.0152883734091024,NA,0.0241120429678278,NA,NA,NA,0.0212548949892413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",86.6,0.0814619727303697,0.0222706239575016,0.0333534798747273,1,0.0195289555928323,0.350608046237972,0.0292669419756455,0.287898061971483,0.0690279628416549,0.0701244929834383,0.0251727843497377,0.276840797066057,0.0859113664310338,0.326937119845918,0.0293991724119141,0.0175253716996461,0.109080615889044,0.380259539411034,0.208353712325397,0.253575529249749,0.245889319694741
