"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",33.6,102157.19,42687.76,46906.12,1293826.73,18183.93,400261.33,32996.07,401353.73,86030.48,84017.78,36433.6,329833.76,110241.64,366439,34528.21,22549.2,129123.15,493039.91,254954.4,316198.27,326390.4
"2",35.4,107893.59,38676.76,42993.82,1308388.43,19064.53,424971.73,35884.67,413270.93,88417.28,83956.98,37275.8,350392.16,111965.64,396409,36192.61,24053.6,135097.95,540342.11,251765.6,334107.87,337943.2
"3",37.1,104965.59,41404.16,45267.62,1273744.03,25559.83,403389.33,32374.67,379711.13,89239.28,86444.18,34588.2,335408.16,111103.64,362623.5,34267.41,22529,125919.15,469292.81,241657.6,318807.07,309102.4
"4",38.9,100251.99,31075.36,42910.62,1150914.63,15689.53,390293.33,28423.47,369652.33,80194.08,79624.78,30556.8,324320.96,104164.44,351527,30476.61,18758.2,118722.75,440264.21,233716,292391.87,293016
"5",40.7,95619.19,31777.36,40814.22,1166472.73,17952.03,373226.13,31331.87,373384.73,84666.48,76697.38,31399.2,318180.96,106190.04,356767.5,34568.21,21145.4,122245.95,470628.51,226798.4,302760.67,306854.4
"6",42.4,93814.39,28548.56,35090.02,1150756.73,17829.53,379442.13,31030.67,343183.83,79512.08,75413.38,29353.6,312565.76,102900.84,337787.5,32261.81,19741.2,109853.95,427044.01,215444.8,280878.27,281204.8
"7",44.2,87977.59,53277.96,40149.62,1097873.63,14991.13,371400.53,30389.07,341938.83,73053.88,72043.98,31579.8,281156.16,94878.04,332594.5,30516.81,18498,107641.55,423380.81,212436.8,272978.27,267023.2
"8",46,85871.59,31095.36,40452.22,1049821.23,15116.73,332573.33,26939.67,334749.63,73294.48,67029.58,26385.4,276184.16,91950.84,313775.5,26064.41,18016.4,107131.15,388851.31,192982.4,264053.47,274726.4
"9",47.7,85891.59,26863.76,35105.22,1043593.03,12444.23,332089.33,26979.47,311173.23,69825.08,70519.58,26565.8,280535.36,85050.84,318879,27548.41,19039.4,103887.95,400410.31,195449.6,252722.27,256334.4
"10",49.5,85711.59,23193.56,37611.42,1061803.43,15053.03,324428.53,27681.67,316843.73,71329.28,66989.58,26245,270587.36,91930.04,321246.5,28190.41,16031,102666.75,392717.91,195408.8,245883.07,243057.6
"11",51.3,77428.19,20626.16,32569.82,990385.53,15206.73,302567.73,26598.27,290983.13,64309.68,60350.98,25001.4,251354.56,81722.04,293442.5,26405.41,16351.6,95749.55,339343.91,179885.6,236095.07,240953.6
"12",53,77749.19,21488.36,32547.12,971429.73,12495.83,302849.33,25234.67,285549.83,67257.88,57563.78,24219.2,250132.96,79174.84,287625,26746.21,14868,98582.35,361139.91,199962.8,240627.07,242876.8
"13",54.8,79393.79,49406.16,31527.82,910067.83,14760.53,303048.53,27340.47,277255.73,64029.08,65766.38,24098.8,260300.16,80378.04,295657.5,27648.81,16311.6,98472.35,351153.91,183898,243795.87,236479.2
"14",56.6,78872.39,34946.36,32210.82,948632.23,12366.13,311773.33,25655.87,279093.13,66555.88,60873.18,23477.2,266739.36,86616.04,288248,27267.61,14266,98091.95,365741.71,179484.4,239504.67,242776.8
"15",58.3,78270.39,19463.16,27321.22,968355.83,12567.63,318633.33,24693.27,304071.53,67117.88,65024.38,24740.8,255304.96,86434.44,292490.5,27628.81,16412,100374.35,376720.21,181932,248751.07,239527.2
"16",60.1,78912.19,20826.96,34916.52,1151177.63,17748.63,317769.33,26397.67,311639.83,66114.28,63820.98,24479.8,259216.16,88200.04,296420.5,27809.21,15950.8,101945.95,368600.31,183876.8,242753.47,253366.4
"17",61.9,80296.39,22290.96,32433.32,1011799.13,19216.93,320818.93,27280.27,297938.03,68340.68,63599.98,22815.4,266916.96,85692.44,300612.5,28832.01,15228.6,97681.55,370848.51,183716,247467.87,233231.2
"18",63.6,76866.79,23133.16,35113.52,959071.23,19191.13,318874.93,25074.07,286585.43,65532.88,60351.58,23778,262765.76,85772.84,306693,28391.01,15870.4,106540.35,383990.31,188870.4,250474.27,249053.6
"19",65.4,80095.79,22631.96,34705.42,1024400.63,15644.63,329403.73,27079.67,303998.23,73275.08,65565.58,25823.6,276706.56,86916.84,321771.5,29734.81,16853.4,103898.35,390815.61,186002.4,253020.67,246908.8
"20",67.2,78350.59,19121.96,32722.12,970436.83,15283.63,320097.33,26157.27,284681.13,66435.48,65745.58,23497.2,258956.16,80237.24,290114,25562.81,14586.8,94357.55,349098.61,168613.6,226850.27,221277.6
"21",68.9,70689.39,19262.36,31065.22,918352.73,15776.73,293865.33,23991.07,279756.53,58975.08,59067.58,29233.2,240164.16,78714.04,282856.5,24760.81,14787.6,93467.55,348414.71,174832,230159.87,222040
"22",70.7,73357.19,19542.96,26870.22,917975.23,12391.13,301384.53,25294.67,263641.83,63066.48,60150.98,22033.2,246180.16,80258.04,288750.5,26204.81,13764.4,92436.75,350245.31,171843.2,223139.87,220276
"23",72.5,68744.19,18078.96,27241.52,917697.03,12545.83,286762.93,25294.67,259730.73,59757.28,57102.38,23216.4,234208.16,78212.04,273010.5,25442.61,15850.2,89373.15,329745.21,171602,227371.07,229861.6
"24",74.2,70007.79,20927.36,26724.02,911103.83,15009.83,291376.53,25314.67,264596.33,60519.08,59107.58,21311,259938.56,81201.24,275775,27047.21,14506.6,95349.15,337831.41,180628,228374.27,222661.6
"25",76,68984.59,21528.76,26799.02,921251.63,15718.83,292338.93,24592.67,262787.73,60539.08,59849.78,21611.8,247364.16,75364.84,289589,25643.21,14587,95038.75,354790.11,184218.4,238783.07,222260
"26",77.8,71271.39,17858.56,26863.32,898130.73,12377.03,298354.93,23309.27,274033.03,64209.28,58165.18,21050.2,244856.96,77249.24,280805,25402.61,15048.2,95999.95,341784.61,185682.4,232825.47,230524
"27",79.5,73236.79,20084.96,29692.12,929493.33,15143.03,299900.53,25435.27,275870.03,66295.48,63860.98,22895.2,247182.56,80638.84,287375,26626.01,13804.8,97621.15,346117.91,176576.8,232243.87,221778.4
"28",81.3,72775.39,20746.36,27091.52,891657.33,12483.33,293604.53,24271.87,260763.73,59776.88,61052.98,25081.8,250052.16,76768.04,285059.5,27769.21,14546.6,95519.55,333595.11,181551.2,226669.47,221317.6
"29",83.1,69947.39,17838.36,29578.32,918431.83,15090.53,303971.73,24472.47,261122.93,62565.28,59588.98,21230.8,237356.16,73338.84,275400.5,26244.81,14807.4,93817.55,334222.51,181350,226949.47,218510.4
