"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,78558.8,54471.8,61677.6,1395966.3,13992.2,324264,31868.8,549893.4,95726.4,85398,39149.2,301099.2,162353.6,328900,30765.6,28760,145153.6,639751,319430.4,338002.4,348571.2
"2",30.1,106236.8,55976.2,56800.9,1524044.2,21257.8,394779.2,39149.2,633766.3,106878,98634.8,44865,357478.4,179761.6,398344,39209.4,28940.6,158636.8,662195.2,346125.6,385596.8,429520
"3",31.8,117949.2,66786.4,60348.3,1688635.9,21905,485073.6,42358,606768.5,109304.8,103067.6,40773.6,391390.4,183612.8,445651,44644.4,31488,168465.6,680889.8,357937.6,423542.4,460443.2
"4",33.6,125871.2,46630.2,57478.7,1715549.5,23903.9,470414.4,45045.6,627293.1,115181.2,109505.6,42759.2,415339.2,199516.8,473569,43601.4,34295.4,166914.4,692967.8,348190.4,452744,471635.2
"5",35.4,122882.8,43421.2,54771.8,1825898.6,19131.9,473278.4,45206,630313.5,116585.6,108282.4,40573,430961.6,196868.8,477570.5,43280.8,28679.8,171079.2,668659.2,363454.4,461729.6,473262.4
"6",37.1,134073.6,54592,56183.8,1769722.4,23354.3,476872,47632.8,620824.5,115803.2,110187.6,39650.6,419892.8,201381.6,475443.5,43742,32109.2,164692,658245,346206.4,466280,469089.6
"7",38.9,129180,39811,61361,1810289.4,20871.1,498168,45266,641744.8,112132.8,113718,39450,437540.8,199677.6,489109,43300.6,33493.4,161889.6,655631.2,358780.8,456816,445441.6
"8",40.7,126674.4,38086.2,51458.3,1698083.9,23660.5,471014.4,44564.2,620853.2,107680.8,102044.8,36982.8,399073.6,193279.2,479610,42518.6,28419.2,157234.4,599166.4,319331.2,436217.6,436417.6
"9",42.4,120516.4,32811.4,55670.1,1670484.4,19435.9,437158.4,39771,581828.9,103649.2,97472,35278.2,376350.4,187141.6,443186,38587.4,26012.2,144142,579107.6,299575.2,406193.6,403966.4
"10",44.2,111130,32470.2,55352.8,1407922.4,29071.9,423723.2,42137.4,588821.8,97692.4,97110.8,32269.8,370312,180162.4,426294.5,39149,22743.2,141859.2,600450.7,296706.4,401078.4,391473.6
"11",46,109284.4,32751.2,48800.4,1483409.3,21665,408640,38507.2,534908.9,94403.6,91675.6,34676.6,355771.2,176954.4,422078.5,36882.8,23043.8,138016.4,543087.4,282248,402963.2,380641.6
"12",47.7,110748.8,32691,46017.8,1433528.5,16222.5,410324.8,38266.6,542183,95546.4,88706.8,32630.8,360644.8,173344,418338.5,37324,21419.6,135553.6,509683.9,279678.4,385355.2,376289.6
"13",49.5,106176.4,29863.2,48957.1,1405581.8,16291.9,381363.2,37965.8,522725,93440,86681.6,30565.2,342636.8,164879.2,403399,34817.2,22402.2,131939.6,503663.3,278817.6,390828.8,376750.4
"14",51.3,107901.2,31648,47610.5,1403360.4,15843.8,401980.8,38928.4,529498.3,93541.2,86300.8,30625.2,340508.8,171819.2,417638.5,38447.2,22602.8,137786.4,516295,280362.4,402142.4,374606.4
"15",53,110528.4,31728.4,42991.9,1440536.4,20139.8,408260.8,40072,533088.3,94824.4,90091.2,28138.2,356214.4,181707.2,411245,37163.6,22562.6,138096,511552,271738.4,394340.8,371056
"16",54.8,106076,28860.4,48523.2,1413344.1,16147.5,390811.2,36622.2,523502,92477.6,89851.2,30745.6,341812.8,170956.8,405503.5,36742.4,20858,136084.4,501891.2,268829.6,382126.4,365659.2
"17",56.6,108242,30083.6,44350.4,1485128.8,16610.6,406776,37103.4,527360.1,90873.6,85738.8,29462,348552,172140,406702,39008.6,22322.2,135062.8,513462.5,276550.4,391852.8,367947.2
"18",58.3,109886.4,27035.2,43011.9,1424449,16119.4,394198.4,38306.6,514476.7,92818.8,86842,28238.4,350556.8,168108.8,396381,35779.8,19293.6,130869.2,511790.4,265139.2,377814.4,368467.2
