"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,72758,53796.75,54789.0125,1384107.425,11812.275,319538.725,26403.975,397099.3875,90394.5,80848.2,38418.95,300588.2375,107390.175,328881.25,30669.9375,27349.075,144988.2875,637280.4125,319360.575,337986.75,348562.8625
"2",30.1,100436,55301.15,49912.3125,1512185.325,19077.875,390053.925,33684.375,480972.2875,101546.1,94085,44134.75,356967.4375,124798.175,398325.25,39113.7375,27529.675,158471.4875,659724.6125,346055.775,385581.15,429511.6625
"3",31.8,112148.4,66111.35,53459.7125,1676777.025,19725.075,480348.325,36893.175,453974.4875,103972.9,98517.8,40043.35,390879.4375,128649.375,445632.25,44548.7375,30077.075,168300.2875,678419.2125,357867.775,423526.75,460434.8625
"4",33.6,120070.4,45955.15,50590.1125,1703690.625,21723.975,465689.125,39580.775,474499.0875,109849.3,104955.8,42028.95,414828.2375,144553.375,473550.25,43505.7375,32884.475,166749.0875,690497.2125,348120.575,452728.35,471626.8625
"5",35.4,117082,42746.15,47883.2125,1814039.725,16951.975,468553.125,39741.175,477519.4875,111253.7,103732.6,39842.75,430450.6375,141905.375,477551.75,43185.1375,27268.875,170913.8875,666188.6125,363384.575,461713.95,473254.0625
"6",37.1,128272.8,53916.95,49295.2125,1757863.525,21174.375,472146.725,42167.975,468030.4875,110471.3,105637.8,38920.35,419381.8375,146418.175,475424.75,43646.3375,30698.275,164526.6875,655774.4125,346136.575,466264.35,469081.2625
"7",38.9,123379.2,39135.95,54472.4125,1798430.525,18691.175,493442.725,39801.175,488950.7875,106800.9,109168.2,38719.75,437029.8375,144714.175,489090.25,43204.9375,32082.475,161724.2875,653160.6125,358710.975,456800.35,445433.2625
"8",40.7,120873.6,37411.15,44569.7125,1686225.025,21480.575,466289.125,39099.375,468059.1875,102348.9,97495,36252.55,398562.6375,138315.775,479591.25,42422.9375,27008.275,157069.0875,596695.8125,319261.375,436201.95,436409.2625
"9",42.4,114715.6,32136.35,48781.5125,1658625.525,17255.975,432433.125,34306.175,429034.8875,98317.3,92922.2,34547.95,375839.4375,132178.175,443167.25,38491.7375,24601.275,143976.6875,576637.0125,299505.375,406177.95,403958.0625
"10",44.2,105329.2,31795.15,48464.2125,1396063.525,26891.975,418997.925,36672.575,436027.7875,92360.5,92561,31539.55,369801.0375,125198.975,426275.75,39053.3375,21332.275,141693.8875,597980.1125,296636.575,401062.75,391465.2625
"11",46,103483.6,32076.15,41911.8125,1471550.425,19485.075,403914.725,33042.375,382114.8875,89071.7,87125.8,33946.35,355260.2375,121990.975,422059.75,36787.1375,21632.875,137851.0875,540616.8125,282178.175,402947.55,380633.2625
"12",47.7,104948,32015.95,39129.2125,1421669.625,14042.575,405599.525,32801.775,389388.9875,90214.5,84157,31900.55,360133.8375,118380.575,418319.75,37228.3375,20008.675,135388.2875,507213.3125,279608.575,385339.55,376281.2625
"13",49.5,100375.6,29188.15,42068.5125,1393722.925,14111.975,376637.925,32500.975,369930.9875,88108.1,82131.8,29834.95,342125.8375,109915.775,403380.25,34721.5375,20991.275,131774.2875,501192.7125,278747.775,390813.15,376742.0625
"14",51.3,102100.4,30972.95,40721.9125,1391501.525,13663.875,397255.525,33463.575,376704.2875,88209.3,81751,29894.95,339997.8375,116855.775,417619.75,38351.5375,21191.875,137621.0875,513824.4125,280292.575,402126.75,374598.0625
"15",53,104727.6,31053.35,36103.3125,1428677.525,17959.875,403535.525,34607.175,380294.2875,89492.5,85541.4,27407.95,355703.4375,126743.775,411226.25,37067.9375,21151.675,137930.6875,509081.4125,271668.575,394325.15,371047.6625
"16",54.8,100275.2,28185.35,41634.6125,1401485.225,13967.575,386085.925,31157.375,370707.9875,87145.7,85301.4,30015.35,341301.8375,115993.375,405484.75,36646.7375,19447.075,135919.0875,499420.6125,268759.775,382110.75,365650.8625
"17",56.6,102441.2,29408.55,37461.8125,1473269.925,14430.675,402050.725,31638.575,374566.0875,85541.7,81189,28731.75,348041.0375,117176.575,406683.25,38912.9375,20911.275,134897.4875,510991.9125,276480.575,391837.15,367938.8625
"18",58.3,104085.6,26360.15,36123.3125,1412590.125,13939.475,389473.125,32841.775,361682.6875,87486.9,82292.2,27508.15,350045.8375,113145.375,396362.25,35684.1375,17882.675,130703.8875,509319.8125,265069.375,377798.75,368458.8625
