Time;Li7;B11;Mg25;Ca43;Ti49;V51;Cr53;Mn55;Ni60;Cu65;Zn66;Rb85;Sr86;Y89;Mo97;Cd111;Sn118;Ba138;Pb208;Th232;U238
1.8;4371.8;350.5;5425.6;5425.6;0;2155.5;1844.6;3391;3529.6;2356;360.4;300.3;23084;87.5;140;1082.6;110;3391;100;0;0
3.5;4933.6;200.3;0;5425.6;0;2180.8;1965;6782;3489.4;2481.3;451;200.2;22562.6;0;125;1142.6;100;0;0;0;0
5.3;4151;300.6;4521.4;8138.4;4521.4;1684.2;2285.8;3391;3870.4;2105.5;621.4;225.3;21780.6;0;50;1142.8;90;0;40;0;0
7.1;4051;250.3;0;10173;0;1729.5;3008;4521.4;3730;1644;400.4;220.2;22161.6;37.5;50;1243;70;3391;0;0;0
8.8;4512.2;240.2;3391;10173;3391;1704.3;2366.2;0;3609.8;2255.8;300.5;250.3;22663;0;150;1122.6;62.5;0;40;0;0
10.6;4532.2;260.2;0;8138.4;0;1945;2065.2;4521.4;3349;2055.5;340.6;100;23545.4;50;66.7;1243;80;5425.6;25;0;0
12.4;4211.4;380.6;4521.4;8138.4;0;1784.4;2446.6;0;3108.2;2306;240.4;150;22362;25;140;901.8;90;4521.4;0;0;0
14.1;4251.4;160;0;2712.8;0;1884.8;1764.6;3391;3469.2;1904.8;651.5;220.2;20797.8;25;125;1303.2;140;0;33.3;0;0
15.9;4632.6;300.2;0;8138.4;0;1829.3;2125.4;5425.6;3549.4;1579;380.6;300.5;21459.6;12.5;25;1162.6;62.5;0;0;0;0
17.7;3990.8;280.4;0;5425.6;0;2055.3;1844.6;2712.8;3549.6;1855;501;425.8;23766;0;125;1443.6;87.5;2712.8;0;0;0
19.4;4351.8;160;0;5425.6;0;1523.6;2506.6;4521.4;3328.8;1905;300.4;140;21820.6;0;50;1228;190;0;0;0;0
21.2;5093.8;200.2;6782;6782;3391;1925;1684.2;70668.8;3248.4;2882.3;551.3;425.5;22943.8;75;80;862;150;6782;0;0;0
23;3890.2;801.6;5425.6;1289345.9;4521.4;1403.4;2256;73381.6;4071;2957.5;661.4;551.3;1615219.2;50;50;1664;162.5;13564.1;25;25;0
24.7;4612.2;1463.8;8138.4;2510790.2;0;1503.6;1965.2;73381.6;3629.6;2381;501;561;2362355.2;75;100;1102.6;20;21702.5;80;0;0
26.5;4050.8;1664.2;10851.3;3299730.4;0;1985.2;2105.4;78807.2;3609.6;1955;425.8;601.2;2558585.6;100;100;942;170;18989.7;60;0;0
28.3;4612.4;2346.2;13564.1;3925521.1;4521.4;1965;2326;81520;3449.4;1904.8;340.6;661.4;3001561.6;185.7;50;1263;170;27128.1;0;0;0
30.1;5254;2867.4;13564.1;4564822.8;0;1879.8;2105.4;92398.4;3790;2255.8;1253;801.6;3471368.4;100;140.2;1102.6;125;29840.9;25;0;0
31.8;4833;2767.2;16276.9;5141458.5;0;1945;2627;92425.5;3729.8;1804.5;661.4;881.8;3434470.4;187.5;160.2;1223;150;32580.9;0;0;0
33.6;4612.4;2646.8;13564.1;4991873.8;0;1779.5;2406.4;92398.4;4512;1954.8;641.4;501;3302080;62.5;25;1203;100;35266.6;33.3;0;0
35.4;4331.6;2847.6;10851.3;4785049.5;0;1503.8;2486.6;95138.3;3509.4;2205.8;626.5;902;3142105.6;62.5;200;1684.4;240;32580.9;40;0;0
37.1;4291.6;2907.8;13564.1;5019002.3;0;1704.2;2326.2;92425.5;3609.6;2005;501;561;2954406.4;62.5;25;982;50;32553.8;0;0;0
38.9;4772.8;2125.4;13564.1;4953813.1;0;1929.8;2306;97851.1;3489.2;2255.8;601.3;701.6;2938316.8;125;100;982.2;60;29840.9;120;0;0
40.7;4853.2;2245.8;10851.3;5146884.2;4521.4;1584;2085.4;103303.9;3027.8;1955;741.6;841.8;2885081.6;175;50;922.2;100;32553.8;25;0;0
42.4;4351.8;2406.6;13564.1;5081641;0;1754.3;2566.6;100591.1;3669.8;2155.8;641.2;651.3;2808742.4;100;40;1263;187.5;35293.7;0;0;25
44.2;4592.4;1664.2;13564.1;4717147;0;1704.3;2626.8;103303.9;3469;2456.3;676.3;861.8;2695539.2;83.3;100;1122.8;240;35266.6;75;0;0
46;4752.8;1985;13564.1;4874924.4;3391;2130.3;2265.8;103303.9;3569.4;2356.3;581;1022.4;2678291.2;125;175.3;861.8;150;40719.3;0;0;0
47.7;4913.4;1924.6;13564.1;4703529;0;2005;2426.4;111469.5;4612.6;2406.3;801.8;761.4;2638483.2;62.5;75;1102.8;87.5;43459.3;75;0;0
49.5;4732.8;1624.2;13564.1;4643630.1;0;1383.2;2025;111442.3;3710;2280.8;541;681.6;2547238.4;87.5;80;1543.8;75;46199.2;200.4;25;0
51.3;4251.4;1804.6;16276.9;4858566;0;1523.8;1985;122347.8;3188.6;2406.3;581.4;962.2;2596921.6;62.5;80.2;882;100;48912;0;33.3;0
53;4672.4;2206;13564.1;4804174.3;0;2155.3;2807.4;122320.7;3689.8;1880;520.8;881.8;2634860.8;100;66.7;1323.2;190;51651.9;80;0;0
54.8;4492;2085.4;16955.1;4847714.9;0;1328.3;2125.4;116895.1;3509.5;2631.8;540.8;781.6;2569702.2;75;100;1343;160;54364.8;66.7;0;0
56.6;5093.6;1844.8;13564.1;5092492.3;0;1754.5;2225.8;119607.9;3830;2030.3;581;1222.8;2660416;171.4;133.3;1242.8;75;51624.8;25;0;0
58.3;4291.4;2466.2;13564.1;5369985.8;0;1955;2426.2;119607.9;3489;1930;902;922;2670598.4;25;0;1022.2;180;46172.1;100;0;0
60.1;4793;2466.4;13564.1;5065309.7;3391;2130.3;2165.6;114155.1;3369;2406.3;721.4;1082.4;2453228.8;87.5;60;1323;162.5;43459.3;0;0;0
61.9;4512;2727.2;13564.1;4630012;0;2231;2466.4;111442.3;4070.8;2807.3;481;942.2;2448691.2;12.5;100;1122.6;260;48884.9;50;0;0
63.6;4030.8;2968;13564.1;4825904;0;1503.8;2105.4;125087.8;3669.6;1980.3;420.6;521;2436166.4;50;100.2;1122.6;170;38006.5;33.3;0;0
65.4;4752.6;2446.4;16955.1;4975569.7;0;1764.4;2346;122347.8;3409.2;1955;320.4;942.2;2475622.4;62.5;0;1283;150;35266.6;0;0;0
67.2;4973.6;2466.4;16955.1;4872184.6;0;2105.3;2226;127827.7;3549.6;2557;1022.2;1162.8;2528512;112.5;180.2;1002.4;170;37979.4;0;0;0
68.9;3970.6;2145.4;16276.9;5049032.6;5425.6;1965.2;2566.8;127827.7;3268.6;1829.8;601.2;1443.6;2580793.6;71.4;60;1804.5;160;40719.3;100;0;0
70.7;4412;1945;16276.9;5021850.1;0;1880;2265.8;127773.5;3429.2;2556.5;681.4;1122.6;2606694.4;50;120;1142.8;110;40719.3;0;0;0
72.5;4532.2;2506.4;13564.1;5157843.5;0;2005.3;2907.8;130540.5;3429;1905;621.2;1102.8;2687014.4;112.5;100;1243;120;38006.5;50;0;0
74.2;4612.4;2265.6;16276.9;5217661.5;0;1954.8;2446.2;133253.4;3429;1829.5;540.8;942;2717273.6;100;20;1323.2;150;38006.5;0;0;0
76;3890.4;2486.8;18989.7;5070681.6;0;2205.8;2266;125087.8;3509.6;2882.5;681.4;1142.6;2789004.8;162.5;50;1077.5;90;35293.7;0;0;0
77.8;4672.6;2486.6;16276.9;5280272.6;4521.4;1904.8;2025.2;125060.7;2927.6;2180.5;601.2;1182.6;2852416;125;100;902;100;40746.4;33.3;0;0
79.5;4692.8;2265.8;16276.9;5176887.8;3391;1328.3;2225.8;116895.1;3088.2;2582;526;1082.4;2833139.2;75;125;1042.6;110;35266.6;75;0;0
81.3;4271.4;2406.2;16276.9;5334637.7;0;1654.3;2205.6;105989.6;3669.8;2005.3;380.6;841.8;2983680;62.5;60;1202.8;162.5;43432.1;100;0;0
83.1;4391.8;1704.6;16276.9;4972829.7;0;1744.4;1965;108729.5;3589.6;1829.8;661.4;841.8;2788812.8;137.5;0;1042.2;137.5;40719.3;0;0;0
84.8;4452;1684;13564.1;5299235.7;0;2005;2406.4;111469.5;3429.2;1854.8;340.4;982.2;2760857.6;100;33.3;1082.4;140;40692.2;0;0;0
86.6;4973.4;2185.6;16955.1;4760607;0;2130.3;2085.2;111442.3;3449.4;2280.8;581;841.8;2785132.8;50;125;761.6;200;38033.6;20;0;0
88.4;4251.4;1945;18989.7;5424404.9;0;1423.6;2366.2;114182.3;3589.4;2030.3;380.4;701.4;3149030.4;37.5;50;1423.4;100;40746.4;100;0;33.3
90.2;4612.2;2165.6;10851.3;5527790;0;1729;1644;116895.1;3749.8;2280.8;676.3;1062.4;2925132.8;87.5;100;1323;170;37979.4;100;0;0
91.9;4171.2;1383.4;13564.1;5288384.3;0;1684;2065.2;111442.3;3409;1930;801.8;761.6;2908697.6;62.5;20;1082.6;160;37979.4;0;0;0
93.7;4853.2;1764.6;13564.1;5239471.8;0;2030.3;2205.8;106016.7;3609.8;2631.8;661.4;841.8;2701491.2;162.5;75;1202.8;140;37979.4;0;0;0
95.5;3990.6;1644;10851.3;5100684.8;4521.4;1744.2;2125.4;103276.8;3689.8;1930;260;681.2;2827456;114.3;20;942;130;35266.6;25;0;0
97.2;4091;1924.8;16276.9;5097998.9;4521.4;1383.4;2326;95138.3;3689.6;2832.5;776.8;841.8;2746035.2;87.5;166.7;1082.4;170;32553.8;0;0;0
99;4151.2;1403.6;13564.1;6314614.5;0;1864.8;2606.6;95138.3;3569.6;1980;350.5;1002.2;2767641.6;200;100;1082.6;230;32553.8;0;20;0
100.8;4793;1363.4;10851.3;4929289.1;2712.8;2130.5;2225.8;86972.8;3790.2;2180.5;481;1162.8;2783257.6;75;80;1042.4;80;27128.1;40;0;0
102.5;4492.2;1263;13564.1;4910245.5;3391;1584;2366;84260;3709.8;2005.3;676.5;982.2;2867354.9;150;25;1062.4;137.5;32553.8;40;0;0
104.3;4472.2;1403.5;10851.3;5119728.7;0;1684.2;2306;89685.6;3368.8;1980.3;726.5;801.8;2721664;50;40;841.8;140;29840.9;0;0;0
106.1;4552.2;1403.4;13564.1;4959265.7;4521.4;1263;2346;84232.8;2947.8;2305.8;420.8;1122.8;2671040;50;100;1162.6;162.5;32553.8;25;0;0
107.8;4251.4;1303;13564.1;4983627.5;0;1664.4;2426.2;81520;4010.8;2030.3;480.8;681.2;2518438.4;112.5;100;1052.5;200;32580.9;0;0;0
109.6;3890.4;1102.6;10851.3;4823218.1;0;1704.3;2105.4;81520;3469.2;2255.5;576;681.2;2641252.1;62.5;0;1282.8;100;35266.6;100;0;0
111.4;3970.4;962;10851.3;4752468;0;1584;2005.2;76094.4;3549.4;1629.3;320.6;741.6;2655923.2;125;175;1082.6;190;37979.4;50;0;0
113.1;3890.4;1323.2;8138.4;5013576.5;0;1664.4;2185.6;73381.6;2947.8;1679.3;621.2;741.4;2680364.8;75;175.3;1343.2;210;29840.9;40;0;0
114.9;4592.4;1303;13564.1;4733478.3;0;1554;2085.2;78807.2;3268.4;2305.8;300.5;701.4;2522041.6;100;25;982.2;120;40719.3;75;20;0
116.7;4291.6;1228;8138.4;4921150.8;0;1904.8;2185.6;76094.4;3469;2581.8;426;501;2735129.2;100;33.3;1002.2;120;38006.5;100;0;0
118.4;4532.4;1062.4;10851.3;4670812.7;0;1804.5;1904.8;73381.6;3008;2005;525.8;641.2;2700352;62.5;40;1022;120;27128.1;33.3;0;0
120.2;3850.4;1062.6;8138.4;4801434.5;0;1784.8;1985;73381.6;2867.6;1604;380.4;882;2639391.6;62.5;100;1022.4;140;32580.9;75;0;0
122;4452;1283;8138.4;5416293.2;0;1684;2366.4;70668.8;4492;2606.8;651.3;575.8;2435417.6;100;50;1062.6;120;29840.9;0;0;0
123.7;4612.2;1002.2;8138.4;5122468.5;3391;2231;2245.8;70668.8;3088.4;2230.8;601.2;601.2;2342291.2;87.5;100;1022.6;150;21702.5;33.3;0;0
125.5;4050.8;1202.8;10851.3;5685614.5;0;1323.4;2486.4;67928.8;3489.4;1579;952.3;621.4;2571970.1;66.7;0;942.2;120;29840.9;0;0;0
127.3;4291.6;1604;8138.4;4657194.5;0;1323;2225.8;67928.8;2927.8;2180.5;801.8;541.2;2614707.2;200;100;1303.2;187.5;29840.9;80;0;0
