Time,Li7,B11,Mg25,Ca43,Ti49,V51,Cr53,Mn55,Ni60,Cu65,Zn66,Rb85,Sr86,Y89,Mo97,Cd111,Sn118,Ba138,Pb208,Th232,U238
27.7216,NA,4.19536391946212E-06,0.0001229704,1,NA,NA,NA,3.31892917317011E-05,NA,NA,NA,2.69653807345562E-07,0.0085490521,4.00870262943896E-08,NA,NA,NA,1.09353373138021E-05,NA,0,0
31.2216,NA,0.000004172,0.0001038668,1,5.64662886838844E-05,NA,3.26784785822011E-06,3.10839397907866E-05,NA,NA,NA,2.14766565478927E-07,0.0082560185,3.55250836539814E-08,NA,NA,NA,1.14185677198834E-05,NA,0,0
34.7882666667,NA,4.92766777489106E-06,0.0001128896,1,4.37698233268176E-05,NA,4.18173747773239E-06,2.88704759923732E-05,NA,NA,NA,1.78239619960019E-07,0.0079022347,NA,NA,NA,NA,1.16298566688106E-05,NA,0,0
38.3216,NA,6.49885975814509E-06,8.22658994350138E-05,1,NA,NA,NA,0.000032296,NA,NA,NA,1.88152655847462E-07,0.0068284328,4.48451022402042E-08,7.70364616292666E-07,NA,NA,1.15326490650016E-05,NA,0,0
41.8216,NA,5.54134029785246E-06,9.61408507977644E-05,1,NA,NA,NA,4.05331482817637E-05,NA,NA,NA,1.47696332704444E-07,0.005808739,0.000000031,NA,NA,NA,1.15722460773916E-05,NA,0,4.64323998514904E-09
45.3882666667,NA,0.000004891,8.28487670716394E-05,1,NA,NA,NA,4.58356816812651E-05,NA,NA,NA,1.92786193299769E-07,0.0061551913,4.57245888494209E-08,NA,NA,NA,1.35410849713912E-05,NA,0,0
48.9216,NA,4.68871333595316E-06,0.0001064411,1,NA,NA,4.20550025100588E-06,5.05985036139996E-05,NA,NA,NA,1.86721862859117E-07,0.0054102348,0.000000037,NA,NA,NA,1.51214792894509E-05,NA,0,0
52.4216,NA,6.10014404023275E-06,0.0001101174,1,NA,NA,2.40070838839823E-06,5.5612187920426E-05,NA,NA,NA,1.81627244636028E-07,0.0055716815,NA,NA,NA,NA,1.60063095322591E-05,NA,0,0
55.9882666667,NA,7.30949127894865E-06,9.67672858490426E-05,1,NA,NA,2.73887743158534E-06,5.4438274152732E-05,NA,NA,NA,2.86521448486694E-07,0.0054633763,3.51039424861707E-08,NA,NA,NA,1.77749277596072E-05,NA,0,0
59.5216,NA,8.82327109420251E-06,0.0001075296,1,NA,NA,2.92318222432188E-06,5.24515535984429E-05,NA,NA,NA,2.88471876728385E-07,0.0054250243,2.74168618094421E-08,NA,NA,1.25470287170827E-07,2.29361193144348E-05,NA,0,0
