"","name","Rank in analysis","blank beginning","blank end","plateau beginning","plateau end","Blank average Li7","Blank average B11","Blank average Mg25","Blank average Ca43","Blank average Ti49","Blank average V51","Blank average Cr53","Blank average Mn55","Blank average Ni60","Blank average Cu65","Blank average Zn66","Blank average Rb85","Blank average Sr86","Blank average Y89","Blank average Mo97","Blank average Cd111","Blank average Sn118","Blank average Ba138","Blank average Pb208","Blank average Th232","Blank average U238","LOD Li7","LOD B11","LOD Mg25","LOD Ca43","LOD Ti49","LOD V51","LOD Cr53","LOD Mn55","LOD Ni60","LOD Cu65","LOD Zn66","LOD Rb85","LOD Sr86","LOD Y89","LOD Mo97","LOD Cd111","LOD Sn118","LOD Ba138","LOD Pb208","LOD Th232","LOD U238"
"Stand1.csv","Stand1.csv","1","1.8","21.2","28.3","88.4","5608.51666666667","776.6","1771.04166666667","2748.8","3007.075","5262.6","5737.2","4538.3","5142.26666666667","5090.83333333333","712.25","412","55952.9166666667","35.5666666666667","105.625","1396.75","204.583333333333","1660.35","96.0416666666667","80.6","96.8833333333333","1364.95118294325","540.15694688926","5844.97589218529","6632.06600923944","6828.68201433882","1177.90387630663","914.014879528774","5624.69866538321","1432.20600600485","1770.00685668934","427.932776156595","402.900456914383","3910.95888370103","63.1127994510262","181.28275315349","518.619721428472","231.824531998586","6252.67136445041","324.32333508679","795.538335742762","1006.84113443979"
"Stand2.ods","Stand2.ods","5","1.8","19.4","28.3","88.4","5766.61818181818","687.727272727273","6658.7","11668.6272727273","2008.17272727273","4720.01818181818","5409.23636363636","151295.809090909","5221.38181818182","4536.30909090909","749.745454545455","517.354545454545","54958.8727272727","17.2090909090909","95.0454545454545","1399.74545454545","167.954545454545","2748.03636363636","66.9909090909091","11.3818181818182","6.06363636363636","829.723009640731","459.422807048544","5871.91405659177","3386.19577721613","6991.59076417065","1145.47773820676","1084.263710962","15231.4553351996","1570.13404801223","1519.53202802107","449.074896365244","286.585223878438","3486.57084420156","34.4909869649765","195.329507615861","863.560308574598","215.233488438613","8582.30854531047","105.948299570206","73.6806129675421","60.3324200500105"
"Stand3.xls","Stand3.xls","9","1.8","17.7","35.4","88.4","3597.61","372.04","5432.28","7841.57","1068.27","2001.07","3505.33","111524.77","3278.72","2865.02","609.8","206.24","41281.16","22.5","108.39","1457.6","165.25","613.69","36","3.33","0","1370.21322756715","275.771869486356","5487.56627987307","5390.66515756637","5321.23616474593","1244.01426880884","1388.60941988739","5186.62997147473","1203.75214060038","866.363524162923","352.364073083508","311.729119589428","3581.27154848665","46.0977222864644","190.735809432838","671.395740230752","155.621736913582","3911.15206160538","77.0713954719908","31.5911538250821","0"
"Sample1_Rep1.csv","Sample1_Rep1.csv","2","1.8","17.7","37.1","206.8","3097.16","196.68","1582.48","4883.04","1853.76","1789.04","1973","2305.88","3390.98","2458.92","502.85","170.18","19654.48","18.75","106.92","1176.82","128.67","452.14","26","0","0","1105.73381245217","214.211288217965","6232.29078397342","5057.02593863231","6072.80004478988","1131.88523446505","511.368595046665","7624.85031564555","1122.43846869216","819.586234633062","478.53253285435","222.799901256711","1704.91973300798","64.3476883811688","265.552586129377","668.286013619917","169.791639959098","4289.37666380559","102.907725657503","0","0"
"Sample1_Rep2.csv","Sample1_Rep2.csv","3","1.8","21.2","38.9","210.3","2698.71666666667","192.183333333333","2825.85833333333","5387.925","1695.51666666667","1486.61666666667","1775.66666666667","7638.81666666667","3175.03333333333","2393.75833333333","492.575","147.575","19154.75","25","85.4416666666667","1084.98333333333","118.333333333333","1733.18333333333","58.9166666666667","0","0","807.521235859241","201.901837084713","11879.6019509475","6207.96852823047","6385.11430872264","531.008410308332","712.757452051219","54839.8065264888","1234.52387141396","902.17007883013","530.336197185761","241.173645948308","2412.79550145017","63.9602149066831","163.254058142516","593.624755211573","123.706948434229","7050.06001115658","138.174484554198","0","0"
"Sample1_Rep3.csv","Sample1_Rep3.csv","4","1.8","15.9","37.1","206.8","2762.86666666667","213.488888888889","1381.53333333333","5274.88888888889","376.777777777778","1393.41111111111","1753.33333333333","1657.82222222222","3146.13333333333","2373.93333333333","527.122222222222","146.822222222222","18814.4","15.2777777777778","112.344444444444","1136","107.033333333333","1004.75555555556","52.8333333333333","0","0","1056.01515969232","178.285171845558","6293.5044871677","4747.4","3391","960.101167846389","296.352172254566","4783.5941707047","916.248328784287","930.924532387024","545.457170637622","184.870468166227","1542.7022136498","52.2912516583797","206.430854040766","340.33965387536","114.46376064065","5981.24998892372","176.718844495996","0","0"
"Sample2_Rep1.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample2_Rep2.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample2_Rep3.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample3_Rep1.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
