"","Norm.","Homosc.","Indep.","Regress.Test","intercept","A","R2"
"Li7",0,NA,0,0.278521364889452,0.0668303753811887,0.00133251439406121,0.820498170494456
"B11",0,NA,0,0.389115482363962,0.0200224089660515,0.000654077376486207,0.670675561501068
"Mg25",0,NA,0,0.658108374353809,0.0293294665963924,0.000320865393509812,0.261731222404951
"Ca43",NA,NA,NA,NA,1,0,NA
"Ti49",0,NA,1,0.322237827609813,0.00970211033076274,0.000511644944769688,0.764938843692308
"V51",0,NA,0,0.263291048930208,0.253988336678246,0.00703058861131503,0.838486873559838
"Cr53",0,NA,1,0.362336955563205,0.0219542143586784,0.000447522650215496,0.709562425484953
"Mn55",0,NA,0,0.521597610900457,0.361845387554511,-0.0095992041028895,0.466100576818555
"Ni60",0,NA,0,0.224721630477147,0.0584412192612976,0.00102941814800464,0.880486816214001
"Cu65",0,NA,0,0.467627156969233,0.0577148225995785,0.000666603688522181,0.550763526341951
"Zn66",0,NA,0,0.242077546856751,0.0183298449614931,0.000721691171266245,0.862242613170172
"Rb85",0,NA,0,0.256329603492326,0.227977234472109,0.00413768926947486,0.846453534273898
"Sr86",0,NA,0,0.192886450657298,0.0770515424375088,0.000996783742212927,0.91097481886069
"Y89",0,NA,0,0.228217905781906,0.271602280593432,0.00351549473484065,0.876900862167401
"Mo97",0,NA,0,0.265714390738481,0.0241502491807383,0.00038159245151864,0.835675423796005
"Cd111",0,NA,1,0.171539751704265,0.0137052016744646,0.000286001683933911,0.929134797085967
"Sn118",0,NA,0,0.159131278863379,0.0907899250094935,0.00120697602418073,0.938809100786838
"Ba138",0,NA,1,0.402580893091327,0.346699842233828,0.00259776271430893,0.650647822952933
"Pb208",0,NA,0,0.355310700280271,0.188533728889293,0.000402952846282715,0.719531200670947
"Th232",0,NA,0,0.32817986927699,0.269877088995051,-0.00186751459282699,0.756977441971067
"U238",0,NA,0,0.332939878806291,0.261687589956376,-0.00159522629126542,0.750535044557156
