"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",1.8,2907.8,220,0,5425.6,2712.8,2607,2005,0,3489.2,2105.3,601,175.3,20837.8,25,80,1523.8,200,0,25,0,0
"2",3.5,3048,160,4521.4,6782,0,1428.5,2285.8,0,4071,2506.5,475.8,66.7,19855.2,12.5,140,1203,150,0,25,0,0
"3",5.3,3027.8,200.4,0,5425.6,0,1578.8,1744.4,2712.8,3369,2531.5,260.2,300.5,19594.4,0,60,1283.2,130,4521.4,0,0,0
"4",7.1,3549.6,300.5,0,2712.8,4521.4,1880,1924.8,3391,3649.6,2431.3,701.3,233.7,18751.8,12.5,100,1062.6,140,0,0,0,0
"5",8.8,3389,260.4,4521.4,5425.6,3391,1754.5,2125.4,2712.8,3369,2807.5,460.6,75,19514,62.5,80,1122.8,40,0,100,0,0
"6",10.6,2967.8,40,0,2712.8,4521.4,1704.3,2125.6,3391,3048,2481.5,576,100,19393.6,12.5,334,1543.8,70,0,50,0,0
"7",12.4,2827.2,220.2,0,3391,0,1528.8,1964.8,0,3549.6,2256,701.3,220.2,19554.2,0,140.2,1042.4,166.7,0,0,0,0
"8",14.1,2987.8,140,3391,6782,0,1979.8,1904.8,0,2907.6,2180.8,300.5,180.4,19854.8,0,75,861.8,50,0,0,0,0
"9",15.9,3760,200,0,3391,3391,1323.2,1744.6,2712.8,2847.2,2306,350.5,200,20095.8,12.5,20,962.2,150,0,0,0,0
"10",17.7,2506.6,225.3,3391,6782,0,2105.5,1904.8,8138.4,3609.6,2982.8,601.3,150,19093.2,50,40,1162.6,190,0,60,0,0
"11",19.4,3389,140,4521.4,3391,0,1729.3,2085.4,3391,3429,2606.8,450.8,125,18992.8,50,200.3,1202.8,100,0,75,0,0
