"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",33.565,NA,4.13951071776842e-06,0.000130620504783564,1,NA,NA,NA,2.5736799020131e-05,NA,NA,NA,NA,0.00820577718949266,NA,NA,NA,NA,1.06219842407066e-05,NA,0,0
"2",35.365,NA,5.60435800044194e-06,0.000111831346939087,1,NA,NA,NA,2.48507000111663e-05,NA,NA,NA,2.1194330148528e-07,0.00749172756109741,3.10445382475268e-08,NA,NA,NA,1.22661451714199e-05,NA,0,0
"3",37.165,NA,6.08514517028786e-06,NA,1,NA,NA,NA,2.77105392950388e-05,NA,NA,NA,1.77052380153632e-07,0.00743298485898508,NA,7.72758262849631e-07,NA,NA,1.18945827635715e-05,NA,0,0
"4",38.865,NA,6.38111349179674e-06,0.000114729904914984,1,NA,NA,NA,2.93460287366678e-05,NA,NA,NA,2.46885407333772e-07,0.00661615978352971,NA,NA,NA,NA,1.09437775999825e-05,NA,0,0
"5",40.665,NA,6.07495032935422e-06,NA,1,NA,NA,NA,3.39310409104339e-05,NA,NA,NA,1.57743291608735e-07,0.00599223978656575,3.16600381861981e-08,NA,NA,NA,1.08787854201335e-05,NA,0,1.39257657998424e-08
"6",42.465,NA,6.40220288642914e-06,9.49603461061838e-05,1,NA,NA,NA,3.87795727384459e-05,NA,NA,NA,NA,0.00563636701462659,NA,NA,NA,NA,1.11736674221815e-05,NA,0,0
"7",44.165,NA,4.67028238816109e-06,NA,1,NA,NA,NA,4.04503461525269e-05,NA,NA,NA,1.29246038806875e-07,0.00752164667563289,NA,NA,NA,NA,1.26831581273375e-05,NA,0,0
"8",45.965,NA,4.90110073304594e-06,NA,1,NA,NA,NA,4.54176965393816e-05,NA,NA,NA,1.0462115411614e-07,0.00562333778308347,NA,NA,NA,NA,1.22660665617388e-05,NA,0,0
"9",47.765,NA,3.5312883970766e-06,NA,1,NA,NA,NA,4.77762768329972e-05,NA,NA,NA,2.28666199028243e-07,0.00528297765851376,NA,NA,NA,NA,1.48220842896792e-05,NA,0,0
"10",49.465,NA,5.29032521698194e-06,0.000107242914315603,1,NA,NA,NA,4.80297790526666e-05,NA,NA,NA,2.15367375833389e-07,0.00535615465827457,NA,NA,NA,NA,1.48293989698267e-05,NA,0,0
"11",51.265,NA,5.60931854549227e-06,9.13410620787902e-05,1,NA,NA,NA,4.93400916308981e-05,NA,NA,NA,1.59511180388871e-07,0.00564285914712716,NA,NA,NA,NA,1.52446529283237e-05,NA,0,0
"12",53.065,NA,5.86186855676263e-06,9.12242962750645e-05,1,NA,2.33087690755589e-07,NA,5.20361076388599e-05,NA,NA,NA,2.86137984233253e-07,0.00543005011988405,3.05495472864726e-08,NA,NA,NA,1.52173164549053e-05,NA,1.97258864895188e-08,0
"13",54.765,NA,8.12253753151096e-06,9.13404788677517e-05,1,NA,NA,NA,5.21023804427695e-05,NA,NA,NA,2.5828972576626e-07,0.00560702731409532,3.51591436381301e-08,NA,NA,NA,1.8387454151141e-05,NA,0,0
"14",56.565,NA,7.43535602096109e-06,0.000109005559511715,1,NA,NA,NA,5.42850593264885e-05,NA,NA,NA,2.34567282014547e-07,0.00553437478081561,4.6393248342807e-08,NA,NA,NA,1.81823239890544e-05,NA,0,0
"15",58.365,NA,8.48383439974253e-06,0.00011154225839674,1,NA,NA,NA,5.36809064414942e-05,NA,NA,NA,2.04415834299322e-07,0.00553165718785369,NA,NA,NA,NA,2.17869936724083e-05,NA,0,0
"16",60.065,NA,1.03687950314001e-05,8.97914734459233e-05,1,NA,NA,NA,5.03165285577306e-05,NA,NA,NA,3.51083061825607e-07,0.00576184025572154,NA,NA,NA,NA,2.26985112759515e-05,NA,0,0
"17",61.865,NA,9.83843330679875e-06,8.5191680081109e-05,1,NA,NA,NA,4.51708884238673e-05,NA,NA,NA,2.39196235612306e-07,0.00523616616026389,NA,NA,NA,NA,2.44743795497729e-05,NA,0,0
"18",63.665,NA,9.57589470343264e-06,8.72187212501473e-05,1,NA,NA,NA,4.449291029512e-05,NA,NA,NA,2.66855828841595e-07,0.00545761815189832,NA,NA,NA,NA,2.50567201596403e-05,NA,0,0
"19",65.365,NA,6.84293933167805e-06,8.93429225030265e-05,1,NA,NA,NA,4.28653741299518e-05,NA,NA,NA,2.73355069805444e-07,0.0050979453108377,NA,NA,NA,NA,2.87335088383825e-05,NA,0,1.31601871176295e-08
"20",67.165,NA,7.20415850925206e-06,8.85683595971126e-05,1,NA,NA,NA,4.42825327027815e-05,NA,NA,NA,4.2830182787279e-07,0.00538162509040776,NA,NA,NA,NA,3.07795555707181e-05,NA,0,0
"21",68.965,NA,6.07793326583451e-06,8.80783277237544e-05,1,NA,NA,NA,3.95947011150893e-05,NA,NA,NA,4.05647024356835e-07,0.00553257452148885,NA,NA,NA,NA,3.1357455966394e-05,NA,0,0
"22",70.665,NA,4.56104873716388e-06,8.47387072751692e-05,1,NA,NA,NA,3.63989850065757e-05,NA,NA,NA,2.06855531989776e-07,0.00535182587753594,NA,NA,NA,NA,3.16300205564934e-05,NA,0,0
"23",72.465,NA,6.13851431267456e-06,9.22803356984387e-05,1,NA,NA,NA,3.23769275141246e-05,NA,NA,NA,2.54973176603606e-07,0.00570812277977739,NA,NA,NA,NA,3.27553011780914e-05,NA,0,0
"24",74.265,NA,5.13915080645458e-06,NA,1,NA,NA,NA,2.66671476621292e-05,NA,NA,NA,3.07722928170732e-07,0.00534857432703779,NA,NA,NA,NA,3.26778737926906e-05,NA,0,0
"25",75.965,NA,5.68223332055816e-06,NA,1,NA,NA,NA,2.49092926500927e-05,NA,NA,NA,2.87700681109867e-07,0.00532006674960195,3.21411648828137e-08,NA,NA,1.29926929698404e-07,3.33243190302379e-05,NA,0,0
"26",77.765,NA,5.64554580199852e-06,NA,1,NA,NA,NA,2.20209182070438e-05,NA,NA,NA,3.59993662383695e-07,0.00565755680842654,NA,NA,NA,NA,3.70120138708849e-05,NA,0,0
"27",79.565,NA,8.55731421511966e-06,NA,1,NA,NA,NA,NA,NA,NA,NA,2.93147814713762e-07,0.00563541729094653,NA,NA,NA,NA,4.02255769492472e-05,NA,0,0
"28",81.265,NA,1.03462686937277e-05,NA,1,NA,NA,NA,NA,NA,NA,NA,4.03993964444709e-07,0.00586742856801126,NA,NA,NA,NA,4.4142858112787e-05,NA,0,0
"29",83.065,NA,1.29244322548009e-05,NA,1,NA,NA,NA,NA,NA,NA,NA,1.60677358049053e-07,0.00616139752210215,3.12655039658709e-08,NA,NA,NA,5.05934795898067e-05,NA,0,0
"30",84.865,NA,1.12003332053729e-05,NA,1,NA,NA,3.04229599289916e-06,NA,NA,NA,NA,3.48580116467102e-07,0.00605952999759798,NA,NA,NA,NA,5.41899903283474e-05,NA,0,0
"31",86.665,NA,1.04179368502976e-05,NA,1,NA,NA,NA,NA,NA,NA,NA,3.74706104898502e-07,0.00616138054871287,NA,NA,NA,NA,5.62559696525469e-05,NA,0,0
"32",88.365,NA,1.15094294645592e-05,NA,1,NA,NA,NA,NA,NA,NA,NA,2.55821687850731e-07,0.00592733467980191,NA,NA,NA,NA,5.97199386221822e-05,NA,0,0
"33",90.165,NA,9.03657227266659e-06,NA,1,NA,NA,NA,NA,NA,NA,NA,3.66341494198596e-07,0.00597658399968332,3.79507631071959e-08,NA,NA,1.4037658758539e-07,5.75014388207057e-05,NA,0,0
"34",91.965,NA,9.99341752240057e-06,NA,1,NA,NA,NA,NA,NA,NA,NA,4.82078109869524e-07,0.00589033362926094,NA,NA,NA,NA,5.55341577137423e-05,NA,1.10156785362785e-08,0
"35",93.665,NA,9.10547508375808e-06,NA,1,NA,NA,NA,NA,NA,NA,NA,4.30022505501449e-07,0.00583417203984044,3.03517980164657e-08,NA,NA,NA,4.91216901477949e-05,NA,0,0
"36",95.465,NA,8.5248725687869e-06,NA,1,NA,NA,3.29995160693729e-06,NA,NA,NA,NA,4.70110420647373e-07,0.00599640253515735,3.39394345083404e-08,NA,NA,NA,4.92774251690014e-05,NA,0,0
"37",97.265,NA,8.70067346975495e-06,NA,1,NA,NA,NA,NA,NA,NA,NA,3.79316645370404e-07,0.00581696771608205,NA,NA,NA,NA,4.50685429178999e-05,NA,0,0
"38",98.965,1.25895317996786e-06,8.26445838571245e-06,NA,1,NA,NA,NA,NA,NA,NA,NA,3.55703420709539e-07,0.00612606377026699,NA,NA,NA,NA,4.33721294037817e-05,NA,0,0
"39",100.765,NA,6.95822000252059e-06,NA,1,NA,NA,NA,NA,NA,NA,NA,3.55909789658401e-07,0.00589561306304204,NA,NA,NA,NA,4.09928459718216e-05,NA,1.51523823249053e-08,0
"40",102.565,NA,7.39621231355874e-06,NA,1,NA,NA,NA,NA,NA,NA,NA,3.19084700409836e-07,0.00564411841147702,4.54732938450351e-08,NA,NA,NA,3.9052971963261e-05,NA,0,0
