"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,NA,2290.16153846154,NA,3671054.14615385,NA,NA,NA,111059.715384615,NA,8985.56153846154,1241.63076923077,1220.40769230769,2760173.61538462,65.6230769230769,NA,NA,214.230769230769,60433.8153846154,NA,0,0
"2",30.1,NA,2210.16153846154,15755.2076923077,2775907.74615385,NA,NA,NA,86590.2153846154,NA,5355.76153846154,720.030769230769,658.707692307692,1540468.01538462,65.6230769230769,NA,NA,NA,44129.8153846154,NA,0,0
"3",31.8,NA,1527.76153846154,12364.2076923077,2707951.44615385,NA,NA,NA,94755.7153846154,NA,3109.36153846154,780.030769230769,719.107692307692,1804244.01538462,NA,NA,NA,NA,49555.4153846154,NA,0,0
"4",33.6,NA,1307.56153846154,15077.0076923077,3200354.04615385,NA,NA,NA,102921.315384615,NA,1946.16153846154,NA,799.307692307692,1917799.21538462,61.4230769230769,NA,NA,NA,52295.4153846154,NA,0,0
"5",35.4,NA,1728.76153846154,15077.0076923077,3366296.94615385,NA,NA,NA,111086.915384615,NA,24382.1615384615,589.730769230769,1020.10769230769,1897850.41538462,53.1230769230769,NA,NA,NA,55008.2153846154,NA,0,0
"6",37.1,NA,1668.36153846154,12364.2076923077,3450611.34615385,NA,NA,NA,113799.715384615,NA,1108.96153846154,479.430769230769,1270.60769230769,1931207.21538462,78.1230769230769,NA,NA,NA,63173.7153846154,NA,0,0
"7",38.9,NA,1387.76153846154,12364.2076923077,3415290.14615385,NA,NA,NA,121965.315384615,NA,1735.66153846154,NA,799.307692307692,2189860.01538462,153.123076923077,NA,NA,NA,65886.6153846154,NA,0,20
"8",40.7,NA,1347.56153846154,12364.2076923077,3480533.74615385,NA,NA,NA,121965.315384615,NA,NA,NA,718.907692307692,1779181.61538462,53.1230769230769,NA,NA,NA,68599.4153846154,NA,0,0
"9",42.4,NA,1387.96153846154,12364.2076923077,3540405.24615385,NA,NA,NA,124705.215384615,NA,NA,439.230769230769,739.307692307692,1757786.41538462,115.623076923077,NA,NA,NA,74025.0153846154,NA,0,0
"10",44.2,NA,1106.96153846154,6938.50769230769,3700976.54615385,NA,NA,NA,132870.815384615,NA,NA,NA,678.907692307692,1789786.41538462,65.6230769230769,NA,NA,NA,84876.2153846154,NA,0,0
"11",46,NA,1046.76153846154,9651.40769230769,3581314.04615385,NA,NA,NA,143749.115384615,NA,NA,NA,944.907692307692,1798554.41538462,65.6230769230769,NA,NA,NA,79450.6153846154,NA,0,0
"12",47.7,NA,1267.56153846154,12364.2076923077,3730871.44615385,NA,NA,NA,146489.115384615,NA,NA,NA,779.307692307692,1791776.81538462,90.6230769230769,NA,NA,NA,76737.8153846154,NA,0,0
"13",49.5,NA,826.161538461538,12364.2076923077,3758081.34615385,NA,NA,NA,149201.915384615,NA,NA,NA,658.907692307692,1821594.41538462,NA,NA,NA,NA,65886.6153846154,NA,0,0
"14",51.3,NA,1046.56153846154,9651.40769230769,3744490.04615385,NA,NA,NA,160053.115384615,NA,NA,NA,919.707692307692,1771162.41538462,49.5230769230769,NA,NA,NA,57721.0153846154,NA,0,0
"15",53,NA,1146.96153846154,12364.2076923077,3657381.94615385,NA,NA,NA,154627.515384615,NA,NA,NA,638.907692307692,1727674.41538462,78.1230769230769,NA,NA,NA,55008.2153846154,NA,0,0
"16",54.8,NA,1367.76153846154,12364.2076923077,3605675.74615385,NA,NA,NA,162793.115384615,NA,NA,NA,939.907692307692,1720474.41538462,53.1230769230769,NA,NA,NA,49582.5153846154,166.423076923077,0,0
"17",56.6,NA,1026.76153846154,9651.40769230769,3548597.84615385,NA,NA,NA,162766.015384615,NA,NA,665.030769230769,879.707692307692,1699092.01538462,53.1230769230769,NA,NA,NA,54981.0153846154,NA,0,0
"18",58.3,NA,1006.76153846154,12364.2076923077,3717280.34615385,NA,NA,NA,170958.615384615,NA,NA,NA,919.507692307692,1762253.61538462,90.6230769230769,292.923076923077,NA,NA,63173.7153846154,NA,0,0
"19",60.1,NA,966.561538461538,12364.2076923077,3643871.44615385,NA,NA,NA,173671.515384615,NA,NA,NA,819.307692307692,1680020.01538462,NA,NA,NA,NA,65859.4153846154,NA,0,0
