"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"16",28.3,2807.6,1142.8,13564.1,2546192.2,0,1082.6,1965,81520,3028,3158.5,882,841.6,1753280,112.5,33.3,902.2,187.5,37979.4,80,0,0
"17",30.1,2987.8,2005.3,16276.9,3876447.1,0,1323.4,1884.8,100591.1,2907.4,2556.5,781.6,1443.8,2663436.8,87.5,0,882,180,54391.9,66.7,0,0
"18",31.8,2807.2,1563.8,10851.3,2867253,0,821.8,2105.2,81520,3108.4,2707,851.8,581,1847122.3,62.5,33.3,1062.4,150,43459.3,40,0,0
"19",33.6,3228.4,1965,13564.1,2845415.2,3391,1122.6,2230.8,97851.1,2907.8,2882.5,877,781.6,1810480.8,75,120,1202.8,130,51651.9,75,0,0
"20",35.4,2426.2,2145.4,13564.1,3283399.2,0,1578.8,2165.6,111469.5,3248.6,2005.3,801.5,982,2092396.8,100,140,1102.6,187.5,70668.8,80,0,0
"21",37.1,2907.6,2145.4,10851.3,3754017.9,0,1042.2,2105.6,119635,3309,2958,581,1202.8,2234201.6,75,60,1042.6,140,67928.8,25,0,0
"22",38.9,3148.2,2225.8,13564.1,3862909.6,0,1062.6,2105.2,116922.2,3469.2,5189.3,827,982.2,2106009.6,37.5,200.3,982.2,110,78807.2,40,0,0
"23",40.7,3188.4,1825,10851.3,3770403,0,1604,1624,122347.8,3850.2,2932.8,626.3,741.4,2057408,87.5,250.3,1102.6,130,84232.8,100.3,0,0
"24",42.4,2466.4,2065.6,10851.3,3773142.8,0,1252.8,1965.2,127800.6,2847.4,2832.5,601,802,2004057.6,37.5,20,982.4,120,89685.6,60,0,0
"25",44.2,2987.8,1543.6,13564.1,3939058.6,0,1062.4,2265.8,135993.3,3208.4,2130.5,526,741.4,2051558.4,50,50,1143,150,92398.4,33.3,0,0
"26",46,3068.2,1563.8,10173,4039676.9,0,1303.3,2306,149557.4,3449.2,2606.8,801.8,1062.4,2088185.6,162.5,75,681.4,150,92398.4,25,0,0
"27",47.7,2747,1463.4,10173,4050555.3,0,1553.8,2025.2,149557.4,3007.8,2230.5,576.3,922.2,2049062.4,87.5,25,801.6,100,100591.1,0,0,0
"28",49.5,3148.4,1323,10851.3,4001670,0,1383.4,2205.8,152270.2,3188.4,1654,601.2,701.4,1954572.8,83.3,100,1162.8,220,78807.2,25,0,0
"29",51.3,2787.2,1463.8,10851.3,3849237.6,0,1253,1965,160408.6,3268.6,2005,551,821.8,1877856,112.5,75,1242.8,150,73354.4,25,0,0
"30",53,2847.4,1142.6,13564.1,3900970.8,0,1403.5,1945,168601.3,3128.4,2381,651.3,651,2022176,125,50,942,87.5,67956,100,0,0
"31",54.8,3389,1343.4,13564.1,4140349.4,0,781.6,2125.4,184932.4,2486.6,2080.3,576.3,982.2,2007795.2,87.5,66.7,1242.8,120,62530.3,60,0,0
"32",56.6,2887.6,1323.2,10851.3,4042443.5,0,1343.2,1764.6,176739.7,3669.6,2180.8,380.8,942,1953689.6,75,50,1102.4,130,59817.5,20,50,0
"33",58.3,2747.6,1463.6,10851.3,4017974.2,0,801.6,2265.8,187645.2,3168.2,2305.8,541,1022.2,1922406.4,112.5,200.2,842.2,187.5,62503.2,125,0,0
"34",60.1,3328.6,1363.4,13564.1,3808436.8,0,1222.6,1924.8,179452.5,3208.4,1829.8,360.6,1127.5,1872249.6,75,80,1122.4,240,67956,80,0,0
"35",61.9,2807.2,1243,13564.1,4047842.4,0,1578.8,1884.6,193098,2687,2456.5,826.8,821.8,1966969.6,37.5,150,1082.6,130,76094.4,0,0,0
"36",63.6,2887.4,1142.8,13564.1,3998930.1,0,1052.5,2631.8,198523.6,2727.2,2281,726.5,1102.6,1910675.2,125,140,1283,100,73381.6,140.2,0,0
"37",65.4,2767.2,1202.8,13564.1,3816656.1,0,1228.3,2165.4,193070.9,3730,1904.8,701.3,826.8,1784678.4,12.5,0,982.2,130,65216,100.3,0,0
"38",67.2,3629.6,1563.8,16955.1,3819369.2,0,1228,1804.6,198523.6,2767.2,2205.5,520.8,781.6,1795532.8,87.5,60,1223,80,67956,50,0,0
