"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,178.958333333333,945.65,11699.05,2540653.56666667,-226.066666666667,-283.258333333333,-8.33333333333326,73692.7833333333,-182.116666666667,731.35,352.691666666667,710.15,1734648.33333333,101.041666666667,-21.025,-315.7,46.25,36396.9333333333,30.5583333333333,0,0
"2",30.1,359.158333333333,1808.15,14411.85,3870908.46666667,-226.066666666667,-42.4583333333333,-88.5333333333333,92763.8833333333,-302.716666666667,129.35,252.291666666667,1312.35,2644805.13333333,76.0416666666667,-54.325,-335.9,38.75,52809.4333333333,17.2583333333333,0,0
"3",31.8,178.558333333333,1366.65,8986.25,2861714.36666667,-226.066666666667,-544.058333333333,131.866666666667,73692.7833333333,-101.716666666667,279.85,322.491666666667,449.55,1828490.63333333,51.0416666666667,-21.025,-155.5,8.75,41876.8333333333,-9.44166666666666,0,0
"4",33.6,599.758333333333,1767.85,11699.05,2839876.56666667,3164.93333333333,-243.258333333333,257.466666666667,90023.8833333333,-302.316666666667,455.35,347.691666666667,650.15,1791849.13333333,63.5416666666667,65.675,-15.1000000000001,-11.25,50069.4333333333,25.5583333333333,0,0
"5",35.4,-202.441666666667,1948.25,11699.05,3277860.56666667,-226.066666666667,212.941666666667,192.266666666667,103642.283333333,38.4833333333331,-421.85,272.191666666667,850.55,2073765.13333333,88.5416666666667,85.675,-115.3,46.25,69086.3333333333,30.5583333333333,0,0
"6",37.1,278.958333333333,1948.25,8986.25,3748479.26666667,-226.066666666667,-323.658333333333,132.266666666667,111807.783333333,98.8833333333332,530.85,51.6916666666667,1071.35,2215569.93333333,63.5416666666667,5.675,-175.3,-1.25,66346.3333333333,-24.4416666666667,0,0
"7",38.9,519.558333333333,2028.65,11699.05,3857370.96666667,-226.066666666667,-303.258333333333,131.866666666667,109094.983333333,259.083333333333,2762.15,297.691666666667,850.75,2087377.93333333,26.0416666666667,145.975,-235.7,-31.25,77224.7333333333,-9.44166666666666,0,0
"8",40.7,559.758333333333,1627.85,8986.25,3764864.36666667,-226.066666666667,238.141666666667,-349.333333333333,114520.583333333,640.083333333333,505.65,96.9916666666667,609.95,2038776.33333333,76.0416666666667,195.975,-115.3,-11.25,82650.3333333333,50.8583333333333,0,0
"9",42.4,-162.241666666667,1868.45,8986.25,3767604.16666667,-226.066666666667,-113.058333333333,-8.13333333333321,119973.383333333,-362.716666666667,405.35,71.6916666666667,670.55,1985425.93333333,26.0416666666667,-34.325,-235.5,-21.25,88103.1333333333,10.5583333333333,0,0
"10",44.2,359.158333333333,1346.45,11699.05,3933519.96666667,-226.066666666667,-303.458333333333,292.466666666667,128166.083333333,-1.7166666666667,-296.65,-3.30833333333328,609.95,2032926.73333333,38.5416666666667,-4.325,-74.9000000000001,8.75,90815.9333333333,-16.1416666666667,0,0
"11",46,439.558333333333,1366.65,8307.95,4034138.26666667,-226.066666666667,-62.5583333333334,332.666666666667,141730.183333333,239.083333333333,179.65,272.491666666667,930.95,2069553.93333333,151.041666666667,20.675,-536.5,8.75,90815.9333333333,-24.4416666666667,0,0
"12",47.7,118.358333333333,1266.25,8307.95,4045016.66666667,-226.066666666667,187.941666666667,51.8666666666668,141730.183333333,-202.316666666667,-196.65,46.9916666666667,790.75,2030430.73333333,76.0416666666667,-29.325,-416.3,-41.25,99008.6333333333,-49.4416666666667,0,0
"13",49.5,519.758333333333,1125.85,8986.25,3996131.36666667,-226.066666666667,17.5416666666667,232.466666666667,144442.983333333,-21.7166666666667,-773.15,71.8916666666668,569.95,1935941.13333333,71.8416666666667,45.675,-55.1000000000001,78.75,77224.7333333333,-24.4416666666667,0,0
"14",51.3,158.558333333333,1266.65,8986.25,3843698.96666667,-226.066666666667,-112.858333333333,-8.33333333333326,152581.383333333,58.4833333333331,-422.15,21.6916666666667,690.35,1859224.33333333,101.041666666667,20.675,24.8999999999999,8.75,71771.9333333333,-24.4416666666667,0,0
"15",53,218.758333333333,945.45,11699.05,3895432.16666667,-226.066666666667,37.6416666666667,-28.3333333333333,160774.083333333,-81.7166666666667,-46.1500000000001,121.991666666667,519.55,2003544.33333333,113.541666666667,-4.325,-275.9,-53.75,66373.5333333333,50.5583333333333,0,0
