"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",26.5,NA,0.000621066108292136,0.00416807653178164,1,NA,NA,NA,0.026680416248803,NA,NA,NA,0.000153896119779422,0.875334644790996,3.00799535072914e-05,NA,NA,NA,0.00712010901371499,NA,0,0
"2",28.3,NA,0.000551868434850366,0.00304305444479061,1,NA,NA,NA,0.0215886975641406,NA,NA,NA,0.000151163704225285,0.787326805841998,NA,NA,NA,2.18524408685558e-05,0.00660007271814373,NA,0,0
"3",30.1,NA,0.000688716098690861,0.00441084778392006,1,NA,NA,NA,0.0211537968229023,NA,NA,NA,6.75833016952001e-05,0.785879417102174,NA,NA,NA,2.24770682689782e-05,0.00607095204814311,NA,7.91379121756159e-06,0
"4",31.8,0.000280429506841031,0.000519163982000609,0.00257290697516222,1,NA,NA,NA,0.0194444027695585,NA,NA,NA,6.64254478634463e-05,0.728845384424435,NA,NA,NA,NA,0.00558037111763158,NA,0,0
"5",33.6,NA,0.000515916617645766,0.00294659372682596,1,NA,NA,NA,0.01809968747557,NA,NA,NA,NA,0.636390074647667,NA,NA,NA,NA,0.00574607086776951,NA,0,0
"6",35.4,NA,0.000446443091612799,0.00291912272881966,1,NA,NA,NA,0.0179254855314635,NA,NA,NA,0.000117861088994642,0.613694278076999,1.71227739190275e-05,NA,NA,NA,0.00623899894510417,NA,0,0
"7",37.1,NA,0.000455960838380812,0.00282773345596519,1,NA,NA,NA,0.0173695787618183,NA,NA,NA,0.000133684975737469,0.66713632552525,NA,NA,NA,1.845612921885e-05,0.00551428474350324,NA,0,0
"8",38.9,NA,0.000464588432281895,0.00288123922634057,1,NA,NA,NA,0.0182376285656393,NA,NA,0.000123614670070734,0.000161167713670257,0.580203331786674,NA,NA,NA,1.63199757433624e-05,0.0061580310811393,NA,0,0
"9",40.7,NA,0.000414818246185155,0.00237657938938333,1,NA,NA,NA,0.0190554525115383,NA,NA,NA,0.000118056561393324,0.572501964989599,NA,NA,NA,NA,0.00624934631334569,NA,5.04446235529006e-06,0
"10",42.4,NA,0.00029146388884274,0.00236099360871796,1,NA,NA,NA,0.0189359378484914,NA,NA,NA,0.000153444458862965,0.559361661108551,NA,NA,NA,NA,0.00675215755561895,NA,0,0
"11",44.2,NA,0.000347202758138875,0.00247152479303338,1,NA,NA,NA,0.0215245061826038,NA,NA,NA,8.60090695124301e-05,0.570614610679678,NA,NA,NA,NA,0.00763751640069864,NA,0,0
"12",46,NA,0.00026483566955126,0.00244916174471138,1,NA,NA,NA,0.0213353816237478,NA,NA,NA,0.000100784818208168,0.58216399335983,2.10228297450808e-05,NA,NA,NA,0.00756841001390035,NA,0,0
"13",47.7,NA,0.000330840040001476,0.00314720558706442,1,NA,NA,NA,0.0229872384389881,NA,NA,NA,0.000121430355141423,0.557335329365543,1.76352859947733e-05,NA,NA,NA,0.00868834937943109,NA,0,0
"14",49.5,NA,0.000415991025166467,0.0024069487047984,1,NA,NA,NA,0.0220764101869121,NA,NA,NA,0.000119565156883881,0.539107210807284,NA,NA,NA,NA,0.00799788067142305,NA,0,0
"15",51.3,NA,0.000362274038643854,0.00306174500500204,1,NA,NA,NA,0.023403932707058,NA,NA,NA,NA,0.554879607611458,NA,NA,NA,1.9983482293312e-05,0.00884800899735901,NA,0,0
"16",53,NA,0.000425891334933801,0.00239367834924623,1,NA,NA,NA,0.0230628690488514,NA,NA,NA,7.4073359907937e-05,0.548487419877085,NA,NA,NA,2.43022727661082e-05,0.01127828686593,NA,0,0
"17",54.8,NA,0.000383345190725128,0.00243400358574405,1,NA,NA,NA,0.0251388526658913,NA,NA,NA,0.000166538305616447,0.54822079978709,1.75655879006776e-05,NA,NA,NA,0.0103470446840699,NA,0,0
"18",56.6,NA,0.000378833102682406,0.00225874977685129,1,NA,NA,NA,0.0222830903996376,NA,NA,NA,0.00010832953313147,0.508294757525642,NA,NA,NA,1.81380244362952e-05,0.0101222986885637,NA,0,0
"19",58.3,NA,0.000456730533351591,0.00278483381353128,1,NA,NA,NA,0.0207658891043022,NA,NA,NA,0.000220365885855737,0.49695879972382,NA,NA,NA,NA,0.00909566016842259,NA,0,0
"20",60.1,NA,0.000471795454698882,0.00288949929126582,1,NA,NA,NA,0.0221332815863991,NA,NA,NA,0.000126725941877686,0.502825747730678,NA,NA,NA,1.80160828264664e-05,0.00797691116122885,NA,0,0
"21",61.9,NA,0.000657425317712645,0.00240562834714393,1,NA,NA,NA,0.0220642999341613,NA,NA,NA,0.000176851517828336,0.51200671236762,1.73608109846728e-05,NA,NA,NA,0.00854756873647511,NA,0,0
"22",63.6,NA,0.00054217678538514,0.00231554926791615,1,NA,NA,NA,0.0217714271959246,NA,NA,NA,0.000126860021565417,0.386541628547519,1.67107330663595e-05,NA,NA,NA,0.00768884813200073,NA,0,0
"23",65.4,NA,0.00040822640346858,0.00245889910365473,1,NA,NA,NA,0.0248296124858136,NA,NA,NA,0.000126321146056719,0.515902550037468,NA,NA,NA,2.49644388270351e-05,0.00817050300029006,NA,0,0
"24",67.2,NA,0.000478978850733904,0.002920734791905,1,NA,NA,NA,0.0234196130702418,NA,NA,9.50355022532067e-05,0.000194759188813023,0.508814044487652,2.46905665330912e-05,NA,NA,2.15825784845992e-05,0.0078827848469434,NA,0,0
"25",68.9,NA,0.000458553704953021,0.00311028591314882,1,NA,NA,NA,0.0249425280832748,NA,NA,0.000106930456700717,0.000148793491627344,0.525650490501821,1.9991408656248e-05,NA,NA,NA,0.00746282770819246,NA,0,0
"26",70.7,NA,0.000393611635541432,0.00242038039963698,1,NA,NA,NA,0.0266817277575765,NA,NA,0.000102031477940846,9.96004445597659e-05,0.529205800053558,NA,NA,NA,NA,0.00748503875681646,NA,0,0
"27",72.5,NA,0.000388201810884298,0.00287655356305804,1,NA,NA,NA,0.0236038595542895,NA,NA,NA,0.000128052742707003,0.516621830804293,1.68730748590799e-05,NA,NA,NA,0.00722503477411699,NA,0,0
"28",74.2,NA,0.000357327290671636,0.00288435084253711,1,NA,NA,NA,0.0252931615035476,NA,NA,NA,0.000112476259274808,0.526284633717901,NA,NA,NA,NA,0.00616468149359921,NA,0,0
"29",76,NA,0.00052329072224607,0.00289691165774845,1,NA,NA,NA,0.0248609882387501,NA,NA,NA,0.000157066581597065,0.548781336210398,NA,NA,NA,NA,0.0061915275429549,NA,0,0
"30",77.8,NA,0.000508687699408976,0.00288280965057919,1,NA,NA,NA,0.0225704426459309,NA,NA,NA,9.64612933423899e-05,0.54221134101203,1.69097713539497e-05,NA,NA,NA,0.00670106785245888,NA,0,0
"31",79.5,NA,0.000378372942633823,0.00182917483334397,1,NA,NA,NA,0.0223450065108572,NA,NA,NA,9.77969389219133e-05,0.558091827645248,NA,NA,NA,NA,0.00734403598701363,NA,0,0
"32",81.3,NA,0.000418492350465984,0.00268785082545887,1,NA,NA,NA,0.019539525644566,NA,NA,NA,0.00018664950621924,0.564204464239664,1.57661963157723e-05,NA,NA,NA,0.00725927985052993,NA,0,0
"33",83.1,NA,0.000410033114468863,0.00273058187252987,1,NA,NA,NA,0.0198450366861499,NA,NA,NA,0.000106517671769412,0.531382271580703,1.83722632987505e-05,NA,NA,2.53593763563677e-05,0.00788586910351443,NA,0,0
"34",84.8,NA,0.000393568973520511,0.00229958098291026,1,NA,NA,NA,0.0205619888714756,NA,NA,NA,0.000114231666192439,0.538769120098161,NA,NA,NA,NA,0.00711675697713225,NA,0,0
"35",86.6,NA,0.000320834306270412,0.00291593573722711,1,NA,NA,NA,0.0222838955545679,NA,NA,NA,0.000162122530513447,0.574425230373947,1.9619385767378e-05,NA,NA,NA,0.00787528583885573,NA,0,0
"36",88.4,NA,0.000269289564031535,0.00323020549996385,1,NA,NA,NA,0.0218168238989814,NA,NA,NA,0.000162579014024184,0.534772562045933,NA,NA,NA,1.77584921079218e-05,0.00785775160170784,NA,0,0
"37",90.2,NA,0.000278465990910992,0.00222509819845741,1,NA,NA,NA,0.0214386149200114,NA,NA,NA,0.000134240855775424,0.590022774056208,3.02267681669451e-05,NA,NA,2.25907308587706e-05,0.0073987420646799,NA,0,0
"38",91.9,NA,0.000330783023330924,0.0026703826495493,1,NA,NA,NA,0.0209122773948155,NA,NA,NA,0.000167856246088697,0.527269587624077,NA,NA,NA,NA,0.00671218960198886,NA,0,0
"39",93.7,NA,0.000269490350500863,0.0022137524962549,1,NA,NA,NA,0.0197945428017009,NA,NA,NA,0.000147634122032499,0.503369015626768,NA,NA,NA,NA,0.00582627758961993,NA,0,0
"40",95.5,NA,0.000229748812163113,0.00288746918682681,1,NA,NA,NA,0.0204446932414089,NA,NA,NA,9.25921527445168e-05,0.509280472334912,NA,NA,NA,NA,0.0061713462859157,NA,0,0
"41",97.2,NA,0.000285113151137626,0.00240964711232206,1,NA,NA,NA,0.0193205900562543,NA,NA,NA,0.000152514801063481,0.515069619483714,NA,NA,NA,NA,0.00578127824310282,NA,0,0
"42",99,NA,0.00023619283682657,0.00241232474830883,1,NA,NA,NA,0.0182252734736849,NA,NA,NA,0.0001322029398937,0.549299631024192,1.99693044550347e-05,NA,NA,2.14193831785387e-05,0.00689895843671715,NA,0,0
"43",100.8,NA,0.000254336347761199,0.00289380410169017,1,NA,NA,NA,0.017222860838328,NA,NA,NA,8.08134619012115e-05,0.542061787375308,NA,NA,NA,2.13835759127749e-05,0.00564312728095886,NA,0,0
"44",102.5,NA,0.000294507733263979,0.00178701523070257,1,NA,NA,NA,0.0170010803906425,NA,NA,NA,7.97728191225406e-05,0.51648429571482,2.41478954791718e-05,NA,NA,2.65291736619342e-05,0.00503569764661747,NA,0,0
"45",104.3,NA,0.000260005337001581,0.00248286008712313,1,NA,NA,NA,0.0164706965230591,NA,NA,NA,0.000110645771710453,0.549145580989421,NA,NA,NA,NA,0.00538506866087864,NA,0,0
"46",106.1,NA,0.000217876985536626,0.00253373287780341,1,NA,NA,NA,0.0173859256049427,NA,NA,NA,0.000163616944599132,0.417269438291271,NA,NA,NA,NA,0.0060789875353007,NA,0,0
"47",107.8,NA,0.000223147534491259,0.00236098073574938,1,NA,NA,NA,0.0145691620286393,NA,NA,NA,8.91379395060887e-05,0.499555929971785,NA,NA,NA,NA,0.00566451680421348,NA,6.67512230267328e-06,0
"48",109.6,NA,0.000622663667006501,0.00193429201473988,1,NA,NA,NA,0.0160868624915781,NA,NA,NA,7.76843982728203e-05,0.578909286723866,NA,NA,NA,NA,0.00602954942276596,NA,0,0
"49",111.4,NA,0.000243787335488564,0.00232799007901508,1,NA,NA,NA,0.0143655829751912,NA,NA,NA,0.000190988257380668,0.502491670581253,1.92711792592366e-05,NA,NA,NA,0.00666312783248781,NA,0,0
"50",113.1,NA,0.000206158922004976,NA,1,NA,NA,NA,0.0150196883103425,NA,NA,NA,0.000104334876897658,0.532494932914129,NA,NA,NA,NA,0.00640031068681264,NA,0,0
"51",114.9,NA,0.000219014342637655,0.00177818843240876,1,NA,NA,NA,0.0154094667564613,NA,NA,NA,NA,0.528253452324858,2.06715311634654e-05,NA,NA,NA,0.00657215184664809,NA,0,0
"52",116.7,NA,0.0001833288065085,0.00172257727329425,1,NA,NA,NA,0.0138132128039282,NA,NA,NA,0.000120166722434202,0.521274525375335,1.74577346805688e-05,NA,NA,NA,0.00636104808549403,NA,0,0
"53",118.4,NA,0.000205285509360284,0.00243539607268956,1,NA,NA,NA,0.0139008774262578,NA,NA,NA,4.84012369245427e-05,0.51138073783451,NA,NA,NA,NA,0.0058430557140005,NA,0,0
"54",120.2,NA,0.000152406862283894,NA,1,NA,NA,NA,0.013075033780775,NA,NA,NA,8.30079422537429e-05,0.505692093624625,NA,NA,NA,1.71414906875863e-05,0.00572702108389573,NA,0,0
"55",122,NA,0.000163199847305743,NA,1,NA,NA,NA,0.0142101152322215,NA,NA,NA,8.66021328228244e-05,0.492868863284508,1.79593571043722e-05,NA,NA,NA,0.00482426785976296,NA,0,0
"56",123.7,NA,0.00016850971788242,0.00204468051037006,1,NA,NA,NA,0.0157811896114398,NA,NA,NA,0.000131964055813262,0.51601121549221,NA,NA,NA,NA,0.00514991374317046,NA,0,0
"57",125.5,NA,0.00017715886081082,NA,1,NA,NA,NA,0.0142115403744904,NA,NA,NA,6.18038066148248e-05,0.469695159081369,2.48815771996715e-05,NA,NA,NA,0.00573970660221013,NA,0,0
"58",127.3,NA,0.000163884126275625,0.0018277762265412,1,NA,NA,NA,0.0146508673602415,NA,NA,NA,8.81039807591785e-05,0.523586650380579,NA,NA,NA,NA,0.00497591355980456,NA,0,0
"59",129,NA,0.000198881055055443,NA,1,NA,NA,NA,0.0146506959069551,NA,0.000237118275686412,NA,4.44742504637413e-05,0.493108600697644,NA,NA,NA,NA,0.00615823230492746,NA,0,0
"60",130.8,NA,0.00016515096120395,0.00166400093784938,1,NA,NA,NA,0.013343493738596,NA,NA,NA,0.000131059720512854,0.470055216818505,NA,NA,NA,NA,0.00453005390372145,NA,0,0
"61",132.6,NA,0.000199647263081751,NA,1,NA,NA,NA,0.012686149658073,NA,NA,NA,7.48577167627858e-05,0.462633806321287,NA,NA,NA,NA,0.00580059449523923,NA,0,0
"62",134.3,NA,0.000197117144184828,NA,1,NA,NA,NA,0.0130751771400357,NA,NA,NA,9.82697698690528e-05,0.490540000451626,2.4826857797721e-05,NA,NA,NA,0.00407768877899839,NA,5.06670567300429e-06,0
