"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",26.5,NA,7.41115341667347e-06,8.1043950084856e-05,1,NA,NA,NA,3.29675529895824e-05,NA,NA,NA,1.64399249259785e-07,0.00840717312951815,NA,NA,NA,1.13053910335594e-07,6.38687869034531e-06,NA,0,0
"2",28.3,NA,9.27894632842906e-06,8.84795690831836e-05,1,NA,NA,NA,2.8699138562769e-05,NA,NA,NA,1.61121382717576e-07,0.00829838326541867,6.4280339361021e-08,NA,NA,9.4998247253285e-08,7.92924337491397e-06,NA,0,0
"3",30.1,1.29808739370461e-06,9.98224044302116e-06,7.60684934199171e-05,1,NA,NA,NA,2.81099386773087e-05,NA,NA,3.69323271201877e-06,1.84528137014609e-07,0.00825944416348557,NA,NA,NA,NA,7.55132872441397e-06,NA,0,0
"4",31.8,NA,8.51898075429059e-06,8.30778578371619e-05,1,NA,NA,NA,2.49604785637907e-05,NA,NA,NA,1.871657954765e-07,0.00725337834647943,4.9602218389101e-08,NA,NA,NA,7.36161782058213e-06,NA,0,0
"5",33.6,NA,8.35117073666565e-06,6.95515064958673e-05,1,NA,NA,NA,2.57016866591624e-05,1.40675337068529e-06,NA,NA,NA,0.00718116136064984,NA,NA,NA,NA,8.24723734839056e-06,NA,0,0
"6",35.4,NA,9.4494749979301e-06,5.58493833985917e-05,1,NA,NA,NA,2.76398915450964e-05,NA,NA,NA,2.07450796308011e-07,0.00712657628362923,NA,NA,2.32825691090804e-06,1.45444787180605e-07,7.91076462005108e-06,NA,0,0
"7",37.1,NA,9.21895234521039e-06,6.91750303781605e-05,1,NA,NA,NA,2.55703507045414e-05,NA,NA,NA,9.60067283849631e-08,0.00638514344655761,NA,NA,NA,NA,7.53481710004626e-06,NA,0,0
"8",38.9,NA,6.56751832735703e-06,7.00866550996343e-05,1,NA,NA,NA,2.74864767885541e-05,NA,NA,NA,1.39782327342137e-07,0.00643378928042806,3.18335135334365e-08,NA,NA,NA,6.95751089653354e-06,NA,0,0
"9",40.7,NA,6.73149521788408e-06,5.19175851525264e-05,1,NA,NA,NA,2.7981401361203e-05,NA,NA,NA,1.75328532443656e-07,0.00607905741613047,4.57674242384877e-08,NA,NA,NA,7.34734164198634e-06,NA,0,0
"10",42.4,NA,7.37358325957306e-06,6.83211383900134e-05,1,NA,NA,NA,2.75714800025231e-05,NA,NA,NA,1.21436053223956e-07,0.00599302131523485,NA,NA,NA,8.92519504788156e-08,8.10793203711361e-06,NA,0,8.48211853997594e-09
"11",44.2,NA,5.18083805090705e-06,7.36083712259221e-05,1,NA,NA,NA,3.05344281331609e-05,NA,NA,NA,1.9767637515592e-07,0.00619448073480082,NA,NA,NA,1.47541634858181e-07,8.72828985184805e-06,NA,0,0
"12",46,NA,6.16829456007429e-06,7.12225108031489e-05,1,NA,NA,NA,2.95447189139293e-05,NA,NA,NA,2.40613420639077e-07,0.00595502603421838,3.23494217025232e-08,NA,NA,NA,9.82733698156662e-06,NA,0,0
"13",47.7,NA,6.16793606815359e-06,7.38218137752859e-05,1,NA,NA,NA,3.31262647314778e-05,1.64538264127337e-06,NA,NA,1.66275894460383e-07,0.00607984241211399,NA,NA,NA,NA,1.09057723310111e-05,NA,0,0
"14",49.5,NA,5.11173769619209e-06,7.47755291939607e-05,1,NA,NA,NA,3.35457817397344e-05,NA,NA,NA,1.4268237317022e-07,0.00594359257848518,NA,NA,NA,NA,1.17757195690009e-05,9.15546273599811e-08,9.05961601993626e-09,0
"15",51.3,NA,5.53718011929387e-06,8.79222767538212e-05,1,NA,NA,NA,3.52959806408065e-05,NA,NA,NA,2.22865944135047e-07,0.00579204287376223,NA,NA,NA,NA,1.19438692010056e-05,NA,1.15327728522064e-08,0
"16",53,NA,7.06695537397258e-06,7.22729621517361e-05,1,NA,NA,NA,3.56880584416216e-05,NA,NA,NA,2.00325740857583e-07,0.00594403957955127,NA,NA,NA,9.68168553259803e-08,1.2783951557643e-05,NA,0,0
"17",54.8,NA,6.56659755757362e-06,9.22435008040879e-05,1,NA,NA,NA,3.37532843222312e-05,NA,NA,NA,1.67564327240799e-07,0.00574365231444417,NA,NA,NA,NA,1.33603939969144e-05,NA,0,0
