"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",1.8,5675.2,761.6,3320.7,2656.6,0,5454.8,5454.8,3320.7,4592.4,4286.5,440.6,350.5,54993.4,25,100,1102.4,160,0,0,0,0
"2",3.5,5093.8,661.2,0,0,5313.1,5454.8,6257,6641.4,4953.4,4086,776.5,275.5,58122.6,50,175.3,1524,237.5,0,125.3,25,0
"3",5.3,6477.6,942.2,0,0,0,4953.6,5775.6,2656.6,6136.6,5740.3,541,280.4,56377.4,50,180.2,1543.8,262.5,3320.7,80,0,0
"4",7.1,6076.2,601.2,2656.6,5313.1,0,5354.6,5695.4,6641.4,5234.2,4612.3,841.8,260.4,54612.6,14.3,200.3,1403.4,160,3320.7,33.3,0,0
"5",8.8,5053.8,741.4,3320.7,0,4427.6,5715.4,6056.4,3320.7,5274.4,5139,561,581,56156.6,50,0,1664.2,110,4427.6,150,0,0
"6",10.6,5615.2,861.8,3320.7,5313.1,4427.6,5775.6,5595.2,3320.7,5575.2,5389.5,726.3,380.8,55876.2,50,66.7,1483.8,260,4427.6,40,0,0
"7",12.4,4953.4,1002.4,5313.1,3320.7,0,4913.4,5936,2656.6,5013.4,5840.8,851.8,601.3,54853,12.5,125,1443.6,160,0,75,20,0
"8",14.1,5715.6,440.6,0,0,3320.7,4893.2,6056.4,6641.4,5414.8,4437,801.8,400.8,56999,50,100,1182.8,100,0,33.3,0,0
"9",15.9,5876,1082.4,0,3320.7,4427.6,5454.8,5334.4,3320.7,4231.4,5264.3,902,300.5,55996.4,0,25,1483.6,170,4427.6,150,0,0
"10",17.7,5234.2,801.6,0,4427.6,4427.6,5234,5855.8,2656.6,5094,5264.3,701.4,601.2,53509.4,50,120,1142.6,210,0,40,0,0
"11",19.4,5875.8,781.6,3320.7,5313.1,5313.1,5515,5515,6641.4,5234,5414.5,621.2,551,57560.8,12.5,100,1343.4,250,0,25,0,0
"12",21.2,5655.4,641.2,0,3320.7,4427.6,4432,5314.4,6641.4,4953.4,5615.5,781.6,360.6,56377.6,62.5,75,1443.4,375,0,400.6,922.2,1162.6
"13",23,6297.2,6843.5,0,3320.7,0,24548.2,7260,13282.8,21599.8,22983.8,10950,84535.5,80404,72258.8,7580.8,12013.2,55554.8,6641.4,155012,132850,178417.6
