"","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,0.0663670771281964,NA,NA,1,0.00933892488751127,NA,0.0218610794007379,NA,0.063527045768645,0.0656713317515227,0.0241436383650289,0.238088575170415,0.0805824848767169,NA,NA,0.0170391852603192,0.100503431233371,NA,NA,0.267197902354491,0.292890682268516
"2",30.1,0.0675818186921364,NA,NA,1,0.013665576861914,0.265337710986044,NA,0.421901382204935,0.0646404913827608,0.0657830077404205,NA,0.248897615344107,0.0866983559531295,0.276878743536163,0.0261660944868028,NA,0.09865546345362,NA,NA,0.28629709160318,0.2911444415821
"3",31.8,0.0716399187794685,NA,0.0328950523508453,1,0.0129655713087734,0.275496461562347,0.0229450795593314,0.40550131442697,0.0663991314969513,NA,0.0224751498676941,NA,NA,0.275975826337089,0.0230930644069841,NA,0.0989975729838604,0.36644379228038,0.213754711234121,0.278915110149018,NA
"4",33.6,0.0698913693611908,0.0299820872908414,0.0359318557656847,1,0.0142549377612742,0.277524801628378,0.022199677348421,0.393081525137875,NA,0.062731816334331,NA,0.249610477365031,0.0859714022995573,0.279867348922818,0.0276337065152706,NA,0.101979427739771,NA,NA,0.289430226670509,NA
"5",35.4,0.0685267217207746,0.0262666504898374,0.0304524359085696,1,0.00980310827830902,0.268285061822954,0.02187161612765,0.364627282575111,0.0642655217082083,0.0634336032304014,0.0206786366740919,0.243081893294066,0.0826752417260084,0.27415438075623,0.0258153925844611,0.0163920766257052,0.0949421651910246,0.363272622976605,0.19809406681644,0.264810287363319,0.269766424638312
"6",37.1,0.06814817588391,0.0262917983570751,0.0294137476664033,1,NA,0.257933983876599,0.0214750067954561,0.3461379017564,0.0603672473158123,0.0637648878606196,0.0205958774792912,NA,0.0756141450377906,NA,NA,0.0151596701126386,NA,0.33896719884786,0.194598315196012,NA,0.249598425652808
"7",38.9,0.0676360949955178,0.023359939233461,0.0299648039922481,1,0.0091342084581331,0.256561951564901,0.0243335034363231,0.356962860598266,0.0592920391987496,0.0595341605454798,0.01989070649504,0.228382253347397,0.0774871307098635,0.269018774627356,0.023488538774239,0.0151593973312689,0.0896899196146672,0.349240138181138,0.190216272600964,0.27010244830671,0.263443065633053
"8",40.7,0.0664949289333773,0.0225896784310111,0.0339590456440238,1,0.0109852950495412,0.258551822971292,0.0227105422754053,0.405977360959419,0.0607663498188981,0.0591755971304589,0.0196241936433073,0.235398037961865,0.0767554786244008,0.271068478931531,0.0246338446777606,0.0140158288712548,0.0893724967582321,0.358310722193098,0.192351057244242,0.25906758401195,0.260789790250776
"9",42.4,0.0696849293469057,0.0231910194198131,0.0293805078953207,1,0.0094325535818348,0.265268886015511,0.0229413448634187,0.354713132513983,0.0608620736781173,0.0587149386372349,0.0195063353897342,0.235348676237525,0.0806974565547499,0.269370093116315,0.0251747444673128,0.0157825193376679,0.0931774102694371,0.345173294160458,0.197668454211206,0.266163232182455,0.258487237542851
"10",44.2,0.0682523000532293,0.0193942671551948,0.0354181457462348,1,0.00812021818520505,0.263117176151053,0.0222343402841936,0.358919950185752,0.0585052020035864,0.0586207141744771,0.0201680705090938,0.22874366242885,0.0784576711588623,0.270010310367603,0.0244733825767306,0.015695183671262,0.0910694690436095,0.345758382869667,0.190403611583065,0.254361165316905,0.243815997744638
"11",46,0.0714696087108139,0.020646824046925,0.0288717443447287,1,0.010384309344922,0.274102620340627,0.0227277631754993,0.364995428368598,0.0626069149886689,0.0571056771191429,0.021016785492463,0.242349432721424,0.0790334974394897,0.282647885071719,0.0241809122258542,0.0154410430879039,0.097823767870898,0.34919812368895,0.193898875286689,0.267536891842564,0.263041846655716
"12",47.7,0.0716417731784279,0.0231867451376984,0.0266166304014775,1,0.0109094196944791,0.271293989003542,0.0222006646841206,0.385500798734817,0.0625765672471119,0.0596120075088977,0.0217381249886269,0.245273072462921,0.0794769288696823,0.290206478142825,0.0246446877655442,0.0152526436550899,0.0935210507199826,0.348445272465899,0.197894862520377,0.28098881550687,0.267955208999061
"13",49.5,0.0720926215789619,0.021217646757667,0.0311444062735157,1,0.00739810273982105,0.279575280871815,0.0237128297348178,0.384170644262414,0.0624495266872913,0.0608049209207323,0.0224916816083987,0.243782588098825,0.0843212153251878,0.297281793729897,0.0253482865440751,0.0153995789202672,0.0966968027099599,0.349942405582585,0.201083324571696,0.279707955423886,0.279880148307239
"14",51.3,0.0717680080969929,0.0211573702791789,0.0308523169717035,1,0.0110983879144857,0.269740904930952,0.0234904746810636,0.378689425510037,0.0611452421941857,0.0603127916976739,0.0212303495950049,0.245799640750505,0.0853860670956915,0.299422464054866,0.0265397431532942,0.0144944041163824,0.0943384291812465,0.352324207975484,0.199764077754232,0.292327846121769,0.278372579173251
"15",53,0.0719191099478499,0.0223560453799574,0.0305578548748321,1,0.011920368559136,0.271965380856793,0.024439173127777,0.367647620114334,0.0644628269700251,0.0604482941618618,0.0216352643035124,0.248026136181787,0.0843870646311816,NA,0.0270527461991489,0.0144932409034743,0.0971292258608371,0.363985907902409,0.197206062217729,0.28955170352494,0.28323480958421
"16",54.8,0.0677249890801113,0.0203976760031256,0.0284245854519883,1,0.0110824043893773,0.25631950958266,0.0221352231659302,0.350676356921611,NA,0.0574796717459515,0.019373391626604,0.226382239507104,0.074845238296611,0.271562505542577,0.0237182478810317,0.0145234898424134,0.0894449983150567,0.335114356980847,0.182367116257805,0.25984697011892,0.249293698852076
"17",56.6,0.0694822203906472,0.0191855521004026,0.0307869835083683,1,0.01202442043082,0.263610369558697,0.022167274971652,0.358937062266787,0.0589009963523401,0.0608536067611204,0.0198692069831903,0.235882299858934,0.0797018272511723,0.284827760268853,0.0254700486581658,0.0142140171170312,0.0926547608749998,0.34020212055942,0.190613049905064,0.273211664025611,0.261046891714002
"18",58.3,0.0728267322622767,0.0192766576219462,0.0303291171462391,1,0.00965037717767393,0.270676528367214,0.0232641019479201,0.372701951769787,0.060386438207761,0.0592976255470189,0.0202302831121926,0.243548928982224,0.0814216469984827,0.292158444175877,0.0260098718593317,0.0139843077405853,0.0971648947608282,0.366845862273717,0.198228083225038,0.280742473944906,0.279999169312811
"19",60.1,0.0672569722564348,0.0205589327718699,0.0297419158392854,1,0.00994923402877048,0.277079785351646,0.0233189217873364,0.373253375262159,0.0602990416625451,0.058702522812131,0.0200033853503606,0.250478787816024,0.0823944878306535,0.286244895340418,0.024375933158614,0.0144007733454368,0.0981618880732226,0.357831211716169,0.198950583050417,0.281498453201995,0.268322524376249
"20",61.9,0.0704510452551303,0.0211360440166755,0.0311441030885573,1,0.012152494869452,0.270964214149804,0.0231131019858868,0.366949482266149,0.0607444838772336,0.0606675818222926,0.0192564839265413,0.234712505466833,0.0763919583645829,0.281747298435985,0.0254030671004893,0.0125171679897278,0.0938756135020812,0.348044103622567,0.180312964545518,0.264204643496165,0.256633272731503
"21",63.6,0.0711635965285016,0.0201619249400241,0.0267679491580067,1,0.0128147288638361,0.271979598060903,0.0227393914956848,0.370300271542687,0.0624750031240347,0.0599009457210168,0.0201649784616358,0.242034925665143,0.0807965374781762,0.286625930971526,0.0255104991477732,0.0137436800380255,0.0978723699092491,0.35434495891174,0.19535589407542,0.270950965961328,0.272474133667479
"22",65.4,0.0666073533298342,0.020745237078291,0.0305370153908174,1,0.0102190185817176,0.279137741032861,0.0232463493411721,0.377515950397302,0.0630873987126588,0.0590711490781148,0.0200259137222112,0.242782823294743,0.0788394887121274,0.286555472964264,0.0259850003825758,0.0133461623016642,0.0970701872362472,0.36169337236856,0.201694225232064,0.284244925835788,0.26974197093693
"23",67.2,0.0667925399792152,0.0186845024388966,0.0313008103465577,1,0.00935684221672204,0.271747661427472,0.0230145612872576,0.361101520674088,0.0584651815037924,0.05978638545315,0.0196477194676078,0.234241652541502,0.0803729742861453,0.276898711749293,0.0246354996393964,0.013334059421722,0.0913087478021394,0.342053915371793,0.188404841305803,0.266696958679985,0.254599291202559
"24",68.9,0.0717138792616289,0.0202381474655453,0.030871013574572,1,0.00782243492053504,0.266178117382112,0.0227365820664273,0.373235685516303,0.060030181909299,0.0568090073240048,0.0199450459604726,0.237469753712016,0.0815758567768992,0.279965988359054,0.0254738517415259,0.0127294386173733,0.0945684355762867,0.343201994907117,0.188213012402018,0.264806445175432,0.260986942722468
"25",70.7,0.0704823365484025,0.0303051823183929,0.0296506634623855,1,0.0106055599022702,0.272839437813084,0.0224248041792678,0.377674833667223,0.0587809098835294,0.0615122333730238,0.0198798287198423,0.24058429252911,0.0759394105977591,0.280462617580507,0.0259591983325386,0.0140329307990922,0.0944438377279462,0.344658638375817,0.197913003040621,0.273678444925625,0.269866957297503
"26",72.5,0.0720378612898841,0.0212488396547487,0.0350116167196063,1,0.00831919665410733,0.270024339468195,0.023820081188307,0.388674242203323,0.0605658318170753,0.0615078479980954,0.0199559285544159,0.245125446542782,0.0832105930149094,0.28785147748921,0.0252235886190091,0.0134886539553724,0.0997874191278701,0.363086393053487,0.19563059047078,0.280131815535803,0.267218638180404
"27",74.2,0.069609705194677,0.0216198936899047,0.0308528825131947,1,0.0137269314742532,0.275170402367767,NA,0.382120310029588,0.0623817283142054,0.0633966350605109,0.0185578607885229,0.241448838216871,0.0791210829570516,0.289459305518929,0.0274060441808002,0.0142615345514178,0.0977843188244732,0.367130210882557,0.19861401457506,0.28596809105171,0.263635724919119
"28",76,0.071997771489255,0.0220971834479896,0.031475972493263,1,0.00852705161443289,0.277473797836491,0.0246327855776371,0.393894896305817,0.0622577748108776,0.0619432321023908,0.0207896375057358,0.24930763213013,0.0792604719749253,0.292698170648875,0.0255680814013826,0.0142972209897499,0.0972236501684672,0.363312040301064,0.205798538206273,0.285166469300734,0.26817463977153
"29",77.8,0.0691237752550472,0.0206234755356921,0.0310069477412868,1,0.0105779484143983,0.271610675830892,0.0230064111256163,0.375542503676497,0.0581413208250385,0.0624974132467804,0.0201491668775764,0.23643522489431,0.0755695144080699,0.290345596581241,0.0251365527838969,0.0142557359234844,0.0958428322087109,0.345327863230167,0.197868725727522,0.261296794564214,0.258752951015706
"30",79.5,0.0712490633736357,0.0198309287447749,0.0313384253556349,1,0.0112219818033658,0.278686451753404,0.0239141572279996,0.381848280160245,0.0629621093428411,0.0614297728358656,0.0203698285058599,0.244596339688303,0.0752046353496185,0.290003090560265,0.026685529034696,0.0132449289099679,0.0987561553344011,0.351339790638474,0.207290188346201,0.275171933818919,0.267435299602191
"31",81.3,0.0691040895422855,0.0225256750506759,0.0330361781608856,1,0.00837548600928075,0.274426833350616,0.0247029335423586,0.384316641675377,0.0605517062091559,0.0611144603688617,0.0191759222495551,0.24647796304496,0.079856166355902,0.28940972585022,0.0249528924378316,0.0138124222020434,0.096511155525467,0.360750795377525,0.203422308369775,0.274574770218794,0.263585581727957
"32",83.1,0.0697584964117296,0.0224145181776931,0.0285294407293926,1,0.0104491467910382,0.273134889938393,0.0235194124353903,0.384325589847626,0.0610387914466486,0.0610321751555263,0.0207523925009533,0.244188273601932,0.078715952921741,0.289252596867906,0.0272432310992464,0.0146126061380941,0.100130857585731,0.343779916641058,0.201029989143483,0.264799628391133,0.263184923860723
"33",84.8,0.0660157745160605,0.0214755093392837,0.0283230029543102,1,0.0109321927330179,0.2588893089151,0.0226012379461532,0.377111359075911,0.0579636171476362,0.0590101209495256,0.0197282509372189,0.232195776362665,0.080837327144066,0.274743693466073,0.0257584185173782,0.0144437221435467,0.0964825396717503,0.336791481909632,0.192921456780667,0.261638206243306,0.258311626972645
"34",86.6,0.0715534506405451,0.0219318772372999,0.0315223363663015,1,0.0140480750379431,0.260597812658365,0.0226065998791378,0.377374812141907,0.0632496222920523,0.0612992841178774,0.0203319141225683,0.242422774295425,0.0805060414430645,0.277803428435097,0.0253884782630462,0.0137221999898582,0.096714188479415,0.342264808773138,0.201609288057259,0.269914411319837,0.252767377553236
"35",88.4,0.0692369002982013,0.0219279755162289,0.0302305068723723,1,0.0088075980639547,0.273624754227068,0.0233841222875141,0.382315925047308,0.0625216127590533,0.0620606057153984,0.0194786853835917,0.238140641966059,0.0808924405036081,0.287019338869941,0.0249258545376051,0.0151758319842504,0.099279504429853,0.346103529991606,0.203211847604602,0.27133063620061,0.26227722681326
