"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,95901.3076923077,66866.5153846154,59009.5923076923,1445767.50769231,13733.6384615385,363226.692307692,31489.8615384615,690054.246153846,90582.1692307692,93571.9846153846,34119.6307692308,337760.161538462,114626.230769231,367828.8,43482.3615384615,23818.8,141051.307692308,549727.492307692,333368.146153846,376104.769230769,409747.738461538
"2",30.1,102600.907692308,56838.9153846154,69142.4923076923,1518913.10769231,20988.7384615385,401553.092307692,38008.0615384615,640177.446153846,96920.1692307692,98545.1846153846,37428.8307692308,371593.761538462,129810.230769231,415011.3,39170.1615384615,26987.8,145595.707692308,580715.192307692,329860.946153846,424659.969230769,428518.938461538
"3",31.8,114473.707692308,65863.9153846154,52723.6923076923,1598599.40769231,20958.6384615385,438937.092307692,36563.8615384615,647579.346153846,104882.569230769,108112.384615385,35142.2307692308,406912.161538462,148723.830769231,435631.3,36342.5615384615,27248.6,154004.107692308,585429.792307692,329800.946153846,435672.769230769,462414.938461538
"4",33.6,117261.707692308,49859.1153846154,60448.8923076923,1678484.90769231,24158.6384615385,464349.892307692,37145.6615384615,659126.046153846,116795.769230769,103920.784615385,46735.0307692308,412507.361538462,142424.630769231,464209.8,45808.9615384615,29013.4,166917.707692308,637971.692307692,366060.946153846,475603.969230769,484134.938461538
"5",35.4,129515.307692308,49197.5153846154,57714.7923076923,1890726.20769231,18766.7384615385,505781.892307692,41237.0615384615,688753.746153846,120245.369230769,118561.984615385,38311.0307692308,453140.961538462,154439.030769231,512807.3,48235.9615384615,30177,175256.107692308,686481.892307692,362633.746153846,490482.369230769,496349.338461538
"6",37.1,129715.707692308,49598.5153846154,56146.2923076923,1904169.60769231,28119.5384615385,489677.892307692,40775.8615384615,658447.846153846,113686.169230769,120045.584615385,38431.4307692308,422273.761538462,142104.630769231,486355.3,41276.1615384615,28050.6,159860.107692308,645082.792307692,358640.146153846,463487.169230769,461571.738461538
"7",38.9,120690.507692308,41235.3153846154,53629.1923076923,1785149.00769231,16537.6384615385,456529.092307692,43322.8615384615,636574.946153846,104581.769230769,104903.584615385,34721.2307692308,401235.361538462,136448.630769231,474694.8,41356.5615384615,26245.8,155856.107692308,623077.892307692,327656.146153846,471971.969230769,456579.738461538
"8",40.7,117682.107692308,39530.3153846154,60263.6923076923,1770543.40769231,19681.7384615385,456305.092307692,40093.8615384615,718145.746153846,106326.169230769,103399.184615385,33958.8307692308,410321.761538462,134021.430769231,474394.8,43041.3615384615,23999.6,153984.107692308,634037.292307692,328657.746153846,448488.769230769,448034.138461538
"9",42.4,119347.307692308,39269.5153846154,50477.6923076923,1713386.50769231,16393.3384615385,453036.292307692,39191.2615384615,607103.646153846,103016.969230769,99227.5846153846,32635.2307692308,396782.561538462,136388.630769231,455991.3,42560.1615384615,26225.6,155395.307692308,591047.292307692,326774.546153846,445839.169230769,429182.938461538
"10",44.2,113531.307692308,31808.9153846154,59078.4923076923,1664138.50769231,13744.8384615385,436391.492307692,36884.8615384615,596635.646153846,96097.3692307692,96179.1846153846,32775.8307692308,374200.161538462,128687.030769231,443790.8,40153.1615384615,25303,147298.507692308,575021.892307692,304949.746153846,413090.369230769,392037.338461538
