"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,95954.2833333333,67333.2,58873.3583333333,1445811.5,13502.325,364710.2,31607,690726.9,91848.1333333333,94948.3666666667,34907.15,344231.2,116507.083333333,373384.433333333,44057.375,24635.45,145309.016666667,550110.65,345284.758333333,386317.8,423464.716666667
"2",30.1,102653.883333333,57305.6,69006.2583333333,1518957.1,20757.425,403036.6,38125.2,640850.1,98186.1333333333,99921.5666666667,38216.35,378064.8,131691.083333333,420566.933333333,39745.175,27804.45,149853.416666667,581098.35,341777.558333333,434873,442235.916666667
"3",31.8,114526.683333333,66330.6,52587.4583333333,1598643.4,20727.325,440420.6,36681,648252,106148.533333333,109488.766666667,35929.75,413383.2,150604.683333333,441186.933333333,36917.575,28065.25,158261.816666667,585812.95,341717.558333333,445885.8,476131.916666667
"4",33.6,117314.683333333,50325.8,60312.6583333333,1678528.9,23927.325,465833.4,37262.8,659798.7,118061.733333333,105297.166666667,47522.55,418978.4,144305.483333333,469765.433333333,46383.975,29830.05,171175.416666667,638354.85,377977.558333333,485817,497851.916666667
"5",35.4,129568.283333333,49664.2,57578.5583333333,1890770.2,18535.425,507265.4,41354.2,689426.4,121511.333333333,119938.366666667,39098.55,459612,156319.883333333,518362.933333333,48810.975,30993.65,179513.816666667,686865.05,374550.358333333,500695.4,510066.316666667
"6",37.1,129768.683333333,50065.2,56010.0583333333,1904213.6,27888.225,491161.4,40893,659120.5,114952.133333333,121421.966666667,39218.95,428744.8,143985.483333333,491910.933333333,41851.175,28867.25,164117.816666667,645465.95,370556.758333333,473700.2,475288.716666667
"7",38.9,120743.483333333,41702,53492.9583333333,1785193,16306.325,458012.6,43440,637247.6,105847.733333333,106279.966666667,35508.75,407706.4,138329.483333333,480250.433333333,41931.575,27062.45,160113.816666667,623461.05,339572.758333333,482185,470296.716666667
"8",40.7,117735.083333333,39997,60127.4583333333,1770587.4,19450.425,457788.6,40211,718818.4,107592.133333333,104775.566666667,34746.35,416792.8,135902.283333333,479950.433333333,43616.375,24816.25,158241.816666667,634420.45,340574.358333333,458701.8,461751.116666667
"9",42.4,119400.283333333,39736.2,50341.4583333333,1713430.5,16162.025,454519.8,39308.4,607776.3,104282.933333333,100603.966666667,33422.75,403253.6,138269.483333333,461546.933333333,43135.175,27042.25,159653.016666667,591430.45,338691.158333333,456052.2,442899.916666667
"10",44.2,113584.283333333,32275.6,58942.2583333333,1664182.5,13513.525,437875,37002,597308.3,97363.3333333333,97555.5666666667,33563.35,380671.2,130567.883333333,449346.433333333,40728.175,26119.65,151556.216666667,575405.05,316866.358333333,423303.4,405754.316666667
"11",46,109292.283333333,31573.4,44151.0583333333,1529213.4,15879.825,419161.4,34755.6,558155.9,95739.3333333333,87326.7666666667,32139.15,370604,120859.083333333,432228.933333333,36977.775,23612.65,149593.416666667,533998.45,296512.758333333,409121,402247.116666667
"12",47.7,103937.483333333,33639.2,38615.2583333333,1450794.4,15827.325,393591.8,32208.6,559282.4,90785.7333333333,86484.7666666667,31537.55,355840.8,115304.683333333,421029.933333333,35754.375,22128.45,135679.816666667,505522.45,287104.758333333,407657,388747.916666667
"13",49.5,102372.683333333,30129.4,44225.5583333333,1420016.1,10505.425,397001.4,33672.6,545528.5,88679.3333333333,86343.9666666667,31938.55,346175.2,119737.483333333,422144.933333333,35994.975,21867.65,137311.016666667,496923.85,285541.558333333,397189.8,397434.316666667
