"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",1.8,5916.2,581,3487.9,11161.3,0,4391.8,5555,153829.9,5133.8,5113.8,781.6,621.4,56136.8,37.5,33.3,1243,240,0,75,0,0
"2",3.5,5194.2,661.2,11161.3,11161.3,0,4612.4,5795.6,153857.8,5073.8,4186,801.6,440.8,55194,25,20,841.8,212.5,0,100,0,0
"3",5.3,5695.6,952,6975.8,11161.3,4650.5,5314.4,6176.8,153857.8,4953.4,4186.3,425.8,601.3,55555,25,75,1804.4,110,0,50,80.2,0
"4",7.1,5936,621.2,8370.9,11161.3,3487.9,5174,5254.2,151039.6,6477.6,4938.3,822,400.8,53188.4,12.5,100,1604,120,4650.5,75,0,0
"5",8.8,6176.8,801.6,6975.8,13951.6,4650.5,4271.6,5515.2,162228.8,4652.6,4337,701.4,425.5,53669.8,12.5,267,1704.2,130,0,33.3,20,0
"6",10.6,5615.4,681.2,6975.8,11161.3,0,4251.4,5214,151039.6,5173.8,4512,1022.2,621.2,55374.8,25,120,1523.8,110,3487.9,50,0,0
"7",12.4,5956.2,400.6,5580.6,11161.3,0,4572.4,4993.6,145486.9,5815.8,4437,626,601.2,54772.8,0,50,1122.6,160,4650.5,100.3,25,66.7
"8",14.1,5916,701.6,5580.6,13951.6,4650.5,5214.2,5214.2,151011.7,5374.4,4688,661.4,375.5,55815.8,12.5,100,1443.6,240,6975.8,75,0,0
"9",15.9,5916,541,5580.6,11161.3,0,4753,4973.6,151039.6,5174,3449.2,821.8,501,56878.6,0,100.2,1262.8,112.5,3487.9,133.3,0,0
"10",17.7,5655.4,821.8,6975.8,11161.3,0,4893,5214.2,142612.9,4853.2,5239,821.8,501,54412,14.3,80,1222.8,100,6975.8,20,0,0
"11",19.4,5455,801.8,5580.6,11161.3,4650.5,4472,5595.2,148249.3,4752.8,4812.8,761.6,601.2,53549.6,25,100,1624.2,312.5,0,25,0,0
"12",21.2,6116.4,621,2790.3,13951.6,0,4933.2,4973.6,151067.5,5675.4,4086,701.5,576,53389.2,25,125.3,1624,200,4650.5,140,1453.5,601.2
"13",23,6417.6,14414.8,8131.9,64479,0,16586,9200.3,184783.3,12995.8,40312.6,8022,26333.2,66846.2,34897.1,7239.8,7500.6,29999.6,157595.7,98495,66024,102264.6
