"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,72715.2,52733.2769230769,55203.1461538462,1380059.72307692,12292.9769230769,318614.815384615,26201.4538461538,396039.192307692,89872.0615384615,78144.3076923077,37843.7615384615,298591.5,106601.061538462,326199.123076923,30118.6307692308,26873.7076923077,142688.438461538,624945.261538462,311786.407692308,332802.192307692,340653.315384615
"2",30.1,100393.2,54237.6769230769,50326.4461538462,1508137.62307692,19558.5769230769,389130.015384615,33481.8538461538,479912.092307692,101023.661538462,91381.1076923077,43559.5615384615,354970.7,124009.061538462,395643.123076923,38562.4307692308,27054.3076923077,156171.638461538,647389.461538462,338481.607692308,380396.592307692,421602.115384615
"3",31.8,112105.6,65047.8769230769,53873.8461538462,1672729.32307692,20205.7769230769,479424.415384615,36690.6538461538,452914.292307692,103450.461538462,95813.9076923077,39468.1615384615,388882.7,127860.261538462,442950.123076923,43997.4307692308,29601.7076923077,166000.438461538,666084.061538462,350293.607692308,418342.192307692,452525.315384615
"4",33.6,120027.6,44891.6769230769,51004.2461538462,1699642.92307692,22204.6769230769,464765.215384615,39378.2538461538,473438.892307692,109326.861538462,102251.907692308,41453.7615384615,412831.5,143764.261538462,470868.123076923,42954.4307692308,32409.1076923077,164449.238461538,678162.061538462,340546.407692308,447543.792307692,463717.315384615
"5",35.4,117039.2,41682.6769230769,48297.3461538462,1809992.02307692,17432.6769230769,467629.215384615,39538.6538461538,476459.292307692,110731.261538462,101028.707692308,39267.5615384615,428453.9,141116.261538462,474869.623076923,42633.8307692308,26793.5076923077,168614.038461538,653853.461538462,355810.407692308,456529.392307692,465344.515384615
"6",37.1,128230,52853.4769230769,49709.3461538462,1753815.82307692,21655.0769230769,471222.815384615,41965.4538461538,466970.292307692,109948.861538462,102933.907692308,38345.1615384615,417385.1,145629.061538462,472742.623076923,43095.0307692308,30222.9076923077,162226.838461538,643439.261538462,338562.407692308,461079.792307692,461171.715384615
"7",38.9,123336.4,38072.4769230769,54886.5461538462,1794382.82307692,19171.8769230769,492518.815384615,39598.6538461538,487890.592307692,106278.461538462,106464.307692308,38144.5615384615,435033.1,143925.061538462,486408.123076923,42653.6307692308,31607.1076923077,159424.438461538,640825.461538462,351136.807692308,451615.792307692,437523.715384615
"8",40.7,120830.8,36347.6769230769,44983.8461538462,1682177.32307692,21961.2769230769,465365.215384615,38896.8538461538,466998.992307692,101826.461538462,94791.1076923077,35677.3615384615,396565.9,137526.661538462,476909.123076923,41871.6307692308,26532.9076923077,154769.238461538,584360.661538462,311687.207692308,431017.392307692,428499.715384615
"9",42.4,114672.8,31072.8769230769,49195.6461538462,1654577.82307692,17736.6769230769,431509.215384615,34103.6538461538,427974.692307692,97794.8615384615,90218.3076923077,33972.7615384615,373842.7,131389.061538462,440485.123076923,37940.4307692308,24125.9076923077,141676.838461538,564301.861538462,291931.207692308,400993.392307692,396048.515384615
"10",44.2,105286.4,30731.6769230769,48878.3461538462,1392015.82307692,27372.6769230769,418074.015384615,36470.0538461538,434967.592307692,91838.0615384615,89857.1076923077,30964.3615384615,367804.3,124409.861538462,423593.623076923,38502.0307692308,20856.9076923077,139394.038461538,585644.961538462,289062.407692308,395878.192307692,383555.715384615
"11",46,103440.8,31012.6769230769,42325.9461538462,1467502.72307692,19965.7769230769,402990.815384615,32839.8538461538,381054.692307692,88549.2615384615,84421.9076923077,33371.1615384615,353263.5,121201.861538462,419377.623076923,36235.8307692308,21157.5076923077,135551.238461538,528281.661538462,274604.007692308,397762.992307692,372723.715384615
"12",47.7,104905.2,30952.4769230769,39543.3461538462,1417621.92307692,14523.2769230769,404675.615384615,32599.2538461538,388328.792307692,89692.0615384615,81453.1076923077,31325.3615384615,358137.1,117591.461538462,415637.623076923,36677.0307692308,19533.3076923077,133088.438461538,494878.161538462,272034.407692308,380154.992307692,368371.715384615
"13",49.5,100332.8,28124.6769230769,42482.6461538462,1389675.22307692,14592.6769230769,375714.015384615,32298.4538461538,368870.792307692,87585.6615384615,79427.9076923077,29259.7615384615,340129.1,109126.661538462,400698.123076923,34170.2307692308,20515.9076923077,129474.438461538,488857.561538462,271173.607692308,385628.592307692,368832.515384615
"14",51.3,102057.6,29909.4769230769,41136.0461538462,1387453.82307692,14144.5769230769,396331.615384615,33261.0538461538,375644.092307692,87686.8615384615,79047.1076923077,29319.7615384615,338001.1,116066.661538462,414937.623076923,37800.2307692308,20716.5076923077,135321.238461538,501489.261538462,272718.407692308,396942.192307692,366688.515384615
"15",53,104684.8,29989.8769230769,36517.4461538462,1424629.82307692,18440.5769230769,402611.615384615,34404.6538461538,379234.092307692,88970.0615384615,82837.5076923077,26832.7615384615,353706.7,125954.661538462,408544.123076923,36516.6307692308,20676.3076923077,135630.838461538,496746.261538462,264094.407692308,389140.592307692,363138.115384615
"16",54.8,100232.4,27121.8769230769,42048.7461538462,1397437.52307692,14448.2769230769,385162.015384615,30954.8538461538,369647.792307692,86623.2615384615,82597.5076923077,29440.1615384615,339305.1,115204.261538462,402802.623076923,36095.4307692308,18971.7076923077,133619.238461538,487085.461538462,261185.607692308,376926.192307692,357741.315384615
"17",56.6,102398.4,28345.0769230769,37875.9461538462,1469222.22307692,14911.3769230769,401126.815384615,31436.0538461538,373505.892307692,85019.2615384615,78485.1076923077,28156.5615384615,346044.3,116387.461538462,404001.123076923,38361.6307692308,20435.9076923077,132597.638461538,498656.761538462,268906.407692308,386652.592307692,360029.315384615
"18",58.3,104042.8,25296.6769230769,36537.4461538462,1408542.42307692,14420.1769230769,388549.215384615,32639.2538461538,360622.492307692,86964.4615384615,79588.3076923077,26932.9615384615,348049.1,112356.261538462,393680.123076923,35132.8307692308,17407.3076923077,128404.038461538,496984.661538462,257495.207692308,372614.192307692,360549.315384615
"19",60.1,96382,25757.8769230769,39639.1461538462,1339086.02307692,15234.3769230769,368555.615384615,31817.2538461538,351390.292307692,81549.2615384615,76479.5076923077,27795.3615384615,322597.9,107722.661538462,390939.623076923,31623.0307692308,18390.1076923077,125891.638461538,449743.661538462,252560.007692308,358915.792307692,342499.715384615
"20",61.9,92070,25637.6769230769,39335.9461538462,1313288.22307692,11758.5769230769,362138.015384615,31636.6538461538,339993.892307692,79122.4615384615,77001.5076923077,24626.3615384615,322359.5,106440.261538462,374635.623076923,32766.0307692308,18650.7076923077,123589.238461538,449327.661538462,250796.807692308,344974.992307692,336422.915384615
"21",63.6,93132.8,25537.4769230769,36487.3461538462,1332856.22307692,11717.9769230769,351127.615384615,29209.8538461538,346526.792307692,82170.8615384615,74815.5076923077,26872.9615384615,314095.5,107081.061538462,369906.123076923,33548.6307692308,17688.1076923077,123249.238461538,453346.761538462,242674.407692308,354042.992307692,342420.515384615
"22",65.4,92390.8,24654.8769230769,34187.5461538462,1290481.12307692,18604.6769230769,362416.415384615,29450.4538461538,334685.292307692,78701.6615384615,75617.5076923077,25589.3615384615,315700.3,105496.261538462,369718.623076923,31262.0307692308,17306.7076923077,123489.238461538,454783.061538462,240408.007692308,344374.192307692,329583.715384615
"23",67.2,89923.6,24815.2769230769,34108.8461538462,1292235.52307692,14523.2769230769,355338.015384615,29310.0538461538,344960.592307692,83655.2615384615,76459.5076923077,25068.1615384615,314757.9,104573.861538462,369818.123076923,34029.4307692308,17828.5076923077,124590.438461538,448752.161538462,248588.807692308,347763.792307692,335458.915384615
"24",68.9,91147.2,25998.4769230769,42539.9461538462,1320565.42307692,11900.7769230769,354796.415384615,27926.2538461538,337051.392307692,76956.4615384615,73732.3076923077,26592.1615384615,311186.7,102829.461538462,370494.123076923,33147.2307692308,17888.9076923077,121978.438461538,457005.461538462,250795.207692308,351372.592307692,332251.715384615
"25",70.7,93995.2,25838.2769230769,34409.0461538462,1295068.62307692,9195.77692307692,350706.015384615,31696.8538461538,345926.692307692,75733.2615384615,75437.1076923077,24004.9615384615,307375.5,101485.461538462,363738.123076923,35714.4307692308,18951.3076923077,122779.238461538,452208.461538462,246343.207692308,342487.792307692,335720.515384615
"26",72.5,93232.8,26419.6769230769,33842.7461538462,1267591.82307692,15099.5769230769,356762.015384615,31616.6538461538,360888.992307692,79564.0615384615,75877.9076923077,27755.1615384615,317061.9,107682.661538462,378315.623076923,33387.8307692308,17166.7076923077,125060.038461538,454056.661538462,250958.407692308,355785.392307692,331148.515384615
"27",74.2,89121.2,29367.8769230769,34136.9461538462,1296524.72307692,18592.9769230769,356102.015384615,29891.6538461538,342600.892307692,80666.8615384615,74694.7076923077,25769.7615384615,314477.9,105737.061538462,372482.623076923,32625.6307692308,19132.1076923077,121997.638461538,449073.661538462,249212.007692308,343973.392307692,339312.515384615
"28",76,92872,28004.2769230769,34119.3461538462,1293444.82307692,15214.8769230769,340014.815384615,29069.6538461538,345421.892307692,78480.4615384615,74614.7076923077,23663.9615384615,316781.9,102289.061538462,362610.123076923,32846.2307692308,16986.1076923077,125171.238461538,451914.161538462,243957.607692308,343651.792307692,324128.515384615
"29",77.8,87757.2,28646.0769230769,37160.0461538462,1267762.72307692,15324.1769230769,340074.815384615,29029.2538461538,334977.192307692,77016.4615384615,77341.9076923077,24466.3615384615,302644.3,100403.061538462,357192.123076923,33127.0307692308,17046.3076923077,122288.438461538,430363.961538462,239264.807692308,341727.792307692,322743.715384615
"30",79.5,86614,26179.2769230769,34193.2461538462,1257567.92307692,9138.27692307692,333076.415384615,29771.2538461538,337816.292307692,76555.6615384615,76459.5076923077,25148.1615384615,305330.7,98055.8615384615,363287.623076923,31582.8307692308,17427.3076923077,120907.238461538,436142.661538462,250977.607692308,345618.992307692,335560.515384615
"31",81.3,86594.4,26339.8769230769,34080.6461538462,1237088.22307692,15187.4769230769,349020.415384615,29490.6538461538,336455.292307692,79443.2615384615,77382.3076923077,25749.9615384615,294319.5,98758.6615384615,358293.123076923,31622.8307692308,17648.1076923077,124570.438461538,426788.761538462,235374.407692308,338399.792307692,330044.515384615
"32",83.1,87336,24233.6769230769,34291.7461538462,1250467.42307692,15275.3769230769,340556.415384615,26602.4538461538,322684.392307692,74730.4615384615,73310.9076923077,25549.1615384615,296326.7,96973.4615384615,357317.623076923,30780.6307692308,17547.5076923077,120486.438461538,418142.061538462,240948.807692308,324759.792307692,315843.715384615
"33",84.8,80637.6,25035.8769230769,31540.8461538462,1205039.02307692,11867.9769230769,341218.815384615,27465.0538461538,319505.192307692,73988.0615384615,70563.1076923077,24987.7615384615,288805.1,92260.2615384615,343478.623076923,32024.0307692308,17286.9076923077,121047.638461538,417716.361538462,228434.407692308,331519.792307692,296711.715384615
"34",86.6,82542.8,29949.6769230769,32114.3461538462,1209687.02307692,12072.6769230769,333917.215384615,27445.0538461538,323919.692307692,74308.8615384615,69781.1076923077,22961.7615384615,280701.1,90395.0615384615,342753.623076923,30038.4307692308,17026.1076923077,115141.638461538,396697.861538462,235192.807692308,318563.792307692,305998.115384615
"35",88.4,82642.8,24253.6769230769,31631.8461538462,1140550.82307692,9188.27692307692,330989.215384615,27805.8538461538,301896.592307692,73045.6615384615,69600.5076923077,22921.9615384615,277613.9,89993.4615384615,340902.623076923,30479.8307692308,15401.7076923077,114020.438461538,386371.461538462,226568.807692308,307229.392307692,298456.515384615
