"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,72792.1818181818,53784.0727272727,55018.9,1384297.67272727,11984.0272727273,319543.981818182,26459.5636363636,398597.590909091,90505.0181818182,80861.6909090909,38399.4545454545,300581.845454545,107394.727272727,328882.790909091,30670.5545454545,27360.2545454545,144985.645454545,637002.963636364,319363.409090909,337991.018181818,348565.136363636
"2",30.1,100470.181818182,55288.4727272727,50142.2,1512375.57272727,19249.6272727273,390059.181818182,33739.9636363636,482470.490909091,101656.618181818,94098.4909090909,44115.2545454545,356961.045454545,124802.727272727,398326.790909091,39114.3545454545,27540.8545454545,158468.845454545,659447.163636364,346058.609090909,385585.418181818,429513.936363636
"3",31.8,112182.581818182,66098.6727272727,53689.6,1676967.27272727,19896.8272727273,480353.581818182,36948.7636363636,455472.690909091,104083.418181818,98531.2909090909,40023.8545454545,390873.045454545,128653.927272727,445633.790909091,44549.3545454545,30088.2545454545,168297.645454545,678141.763636364,357870.609090909,423531.018181818,460437.136363636
"4",33.6,120104.581818182,45942.4727272727,50820,1703880.87272727,21895.7272727273,465694.381818182,39636.3636363636,475997.290909091,109959.818181818,104969.290909091,42009.4545454545,414821.845454545,144557.927272727,473551.790909091,43506.3545454545,32895.6545454545,166746.445454545,690219.763636364,348123.409090909,452732.618181818,471629.136363636
"5",35.4,117116.181818182,42733.4727272727,48113.1,1814229.97272727,17123.7272727273,468558.381818182,39796.7636363636,479017.690909091,111364.218181818,103746.090909091,39823.2545454545,430444.245454545,141909.927272727,477553.290909091,43185.7545454545,27280.0545454545,170911.245454545,665911.163636364,363387.409090909,461718.218181818,473256.336363636
"6",37.1,128306.981818182,53904.2727272727,49525.1,1758053.77272727,21346.1272727273,472151.981818182,42223.5636363636,469528.690909091,110581.818181818,105651.290909091,38900.8545454545,419375.445454545,146422.727272727,475426.290909091,43646.9545454545,30709.4545454545,164524.045454545,655496.963636364,346139.409090909,466268.618181818,469083.536363636
"7",38.9,123413.381818182,39123.2727272727,54702.3,1798620.77272727,18862.9272727273,493447.981818182,39856.7636363636,490448.990909091,106911.418181818,109181.690909091,38700.2545454545,437023.445454545,144718.727272727,489091.790909091,43205.5545454545,32093.6545454545,161721.645454545,652883.163636364,358713.809090909,456804.618181818,445435.536363636
"8",40.7,120907.781818182,37398.4727272727,44799.6,1686415.27272727,21652.3272727273,466294.381818182,39154.9636363636,469557.390909091,102459.418181818,97508.4909090909,36233.0545454545,398556.245454545,138320.327272727,479592.790909091,42423.5545454545,27019.4545454545,157066.445454545,596418.363636364,319264.209090909,436206.218181818,436411.536363636
"9",42.4,114749.781818182,32123.6727272727,49011.4,1658815.77272727,17427.7272727273,432438.381818182,34361.7636363636,430533.090909091,98427.8181818182,92935.6909090909,34528.4545454545,375833.045454545,132182.727272727,443168.790909091,38492.3545454545,24612.4545454545,143974.045454545,576359.563636364,299508.209090909,406182.218181818,403960.336363636
"10",44.2,105363.381818182,31782.4727272727,48694.1,1396253.77272727,27063.7272727273,419003.181818182,36728.1636363636,437525.990909091,92471.0181818182,92574.4909090909,31520.0545454545,369794.645454545,125203.527272727,426277.290909091,39053.9545454545,21343.4545454545,141691.245454545,597702.663636364,296639.409090909,401067.018181818,391467.536363636
