"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",33.6,102132.409090909,42694.2727272727,47090.0181818182,1293919.70909091,18033.0909090909,400226.763636364,32964.7,401303.890909091,86013.1454545454,84057.2090909091,36438.9454545455,329850.236363636,110304.2,366436.5,34527.1545454545,22552.3090909091,129132.490909091,493095.7,254946.309090909,316198.572727273,326390.4
"2",35.4,107868.809090909,38683.2727272727,43177.7181818182,1308481.40909091,18913.6909090909,424937.163636364,35853.3,413221.090909091,88399.9454545455,83996.4090909091,37281.1454545455,350408.636363636,112028.2,396406.5,36191.5545454545,24056.7090909091,135107.290909091,540397.9,251757.509090909,334108.172727273,337943.2
"3",37.1,104940.809090909,41410.6727272727,45451.5181818182,1273837.00909091,25408.9909090909,403354.763636364,32343.3,379661.290909091,89221.9454545455,86483.6090909091,34593.5454545455,335424.636363636,111166.2,362621,34266.3545454545,22532.1090909091,125928.490909091,469348.6,241649.509090909,318807.372727273,309102.4
"4",38.9,100227.209090909,31081.8727272727,43094.5181818182,1151007.60909091,15538.6909090909,390258.763636364,28392.1,369602.490909091,80176.7454545455,79664.2090909091,30562.1454545455,324337.436363636,104227,351524.5,30475.5545454545,18761.3090909091,118732.090909091,440320,233707.909090909,292392.172727273,293016
"5",40.7,95594.4090909091,31783.8727272727,40998.1181818182,1166565.70909091,17801.1909090909,373191.563636364,31300.5,373334.890909091,84649.1454545454,76736.8090909091,31404.5454545455,318197.436363636,106252.6,356765,34567.1545454545,21148.5090909091,122255.290909091,470684.3,226790.309090909,302760.972727273,306854.4
"6",42.4,93789.6090909091,28555.0727272727,35273.9181818182,1150849.70909091,17678.6909090909,379407.563636364,30999.3,343133.990909091,79494.7454545455,75452.8090909091,29358.9454545455,312582.236363636,102963.4,337785,32260.7545454545,19744.3090909091,109863.290909091,427099.8,215436.709090909,280878.572727273,281204.8
"7",44.2,87952.8090909091,53284.4727272727,40333.5181818182,1097966.60909091,14840.2909090909,371365.963636364,30357.7,341888.990909091,73036.5454545455,72083.4090909091,31585.1454545455,281172.636363636,94940.6,332592,30515.7545454545,18501.1090909091,107650.890909091,423436.6,212428.709090909,272978.572727273,267023.2
"8",46,85846.8090909091,31101.8727272727,40636.1181818182,1049914.20909091,14965.8909090909,332538.763636364,26908.3,334699.790909091,73277.1454545454,67069.0090909091,26390.7454545455,276200.636363636,92013.4,313773,26063.3545454545,18019.5090909091,107140.490909091,388907.1,192974.309090909,264053.772727273,274726.4
"9",47.7,85866.8090909091,26870.2727272727,35289.1181818182,1043686.00909091,12293.3909090909,332054.763636364,26948.1,311123.390909091,69807.7454545455,70559.0090909091,26571.1454545455,280551.836363636,85113.4,318876.5,27547.3545454545,19042.5090909091,103897.290909091,400466.1,195441.509090909,252722.572727273,256334.4
"10",49.5,85686.8090909091,23200.0727272727,37795.3181818182,1061896.40909091,14902.1909090909,324393.963636364,27650.3,316793.890909091,71311.9454545455,67029.0090909091,26250.3454545455,270603.836363636,91992.6,321244,28189.3545454545,16034.1090909091,102676.090909091,392773.7,195400.709090909,245883.372727273,243057.6
"11",51.3,77403.4090909091,20632.6727272727,32753.7181818182,990478.509090909,15055.8909090909,302533.163636364,26566.9,290933.290909091,64292.3454545455,60390.4090909091,25006.7454545455,251371.036363636,81784.6,293440,26404.3545454545,16354.7090909091,95758.8909090909,339399.7,179877.509090909,236095.372727273,240953.6
